variable,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1
CM,0.0,0.000267,0.000117,0.0,0.000123,0.000112,0.0,0.0,0.0,0.0,6.7e-05,0.000154,0.0,4.6e-05,8.4e-05,0.000147,5.9e-05,2.7e-05,7.9e-05,0.0,5.8e-05
Child,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126,0.0,0.0
Counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0
D,0.006463,0.010038,0.011114,0.010138,0.013551,0.012637,0.006349,0.007333,0.007099,0.00603,0.007906,0.005895,0.008363,0.008383,0.005597,0.010325,0.007204,0.01111,0.007264,0.003982,0.005866
DEBUG,0.001911,0.000939,0.001482,0.001453,0.000973,0.000329,0.001351,0.000574,0.000282,0.000282,0.001823,0.002555,0.001721,0.000418,0.000463,0.002086,0.000633,0.001658,0.003037,0.000965,0.001181
DOHERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuplicatePriorityQueue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.001611,0.000949,0.00119,0.00238,0.005055,0.001978,0.003694,0.002127,0.000788,0.005629,0.003567,0.002415,0.003467,0.002832,0.002392,0.002979,0.001867,0.003563,0.005174,0.00246,0.00365
EOFError,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS,0.001392,0.000665,0.001771,0.001062,0.003497,0.0019,0.002075,0.000958,0.002493,0.001785,0.001051,0.000584,0.001774,0.00225,0.001403,0.001497,0.00119,0.000905,0.001754,0.000982,0.003183
Event,0.0,0.0,0.0,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,5.2e-05,2e-06,0.0
Exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,7e-06,0.0,0.0
Exit,9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000324,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0
F,0.00381,0.001917,0.00213,0.004053,0.004915,0.002966,0.001836,0.001619,0.001783,0.002189,0.003051,0.003348,0.002435,0.001542,0.003223,0.0036,0.001891,0.003692,0.002285,0.004446,0.001617
Form,0.0,5.5e-05,0.0,4.1e-05,4.3e-05,0.0,8.7e-05,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fraction,0.0,0.0,0.0,0.0,0.0,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.006571,0.008059,0.012106,0.008444,0.008578,0.008135,0.008452,0.009545,0.00475,0.006344,0.005067,0.00679,0.006269,0.00676,0.004388,0.006442,0.00659,0.006458,0.004835,0.004463,0.005701
GCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G_EVEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G_ODD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gcd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gen_lucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graph,0.0,0.0,0.0,0.000829,0.0,0.0,0.0,8.9e-05,0.0,0.0,4.3e-05,0.000129,8.7e-05,0.0,0.000247,0.000272,7e-06,0.000208,0.000135,0.0,0.001617
House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.004207,0.0054,0.002295,0.003027,0.005319,0.003063,0.003596,0.004026,0.00579,0.003571,0.003002,0.005007,0.004749,0.004475,0.004835,0.002126,0.003131,0.004252,0.002885,0.00285,0.004302
INF,0.000236,0.001363,0.000534,0.000676,0.000429,0.000486,0.000508,0.000234,0.000309,0.000497,0.000541,0.000285,0.000566,0.000364,0.000325,0.00039,0.000277,0.000256,0.000226,0.00029,0.000766
In,8e-06,0.00021,0.000121,0.000255,2e-05,1.2e-05,0.000197,0.000648,9e-06,0.000613,0.000204,0.000133,0.000108,4.1e-05,0.000148,0.000247,2.4e-05,1.8e-05,7.4e-05,3e-06,0.000148
IndexError,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.008561,0.006547,0.010377,0.009393,0.014467,0.01282,0.015817,0.008732,0.007619,0.010973,0.009628,0.009091,0.008311,0.006581,0.012065,0.008866,0.00966,0.011957,0.009407,0.006949,0.009307
KEK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KeyError,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.009553,0.005502,0.005727,0.008693,0.008745,0.004187,0.005866,0.007285,0.00578,0.007603,0.008281,0.010621,0.006842,0.005616,0.007846,0.01259,0.007585,0.007351,0.008535,0.006553,0.008113
L1,0.000311,0.000813,0.000525,0.000508,0.000175,0.000716,0.00049,0.000543,0.000373,0.002098,0.000799,0.000847,0.000217,0.000198,0.000784,0.002111,0.000195,0.000648,0.000207,0.000158,0.00017
L2,0.000161,0.00303,0.000672,0.00034,0.000244,0.000492,0.000373,0.000557,0.0005,0.001286,0.000891,0.000697,0.000269,0.000974,0.000756,0.00227,0.00027,0.000445,0.000651,0.000572,6.4e-05
LATIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lcm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Line2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.006722,0.009651,0.007116,0.008462,0.009923,0.009566,0.006641,0.012021,0.010055,0.007399,0.007667,0.00907,0.007837,0.006662,0.005555,0.008318,0.011824,0.009054,0.006075,0.007487,0.00795
M1,0.000525,0.000273,0.000821,0.000281,0.00022,0.000395,0.000722,0.000617,9e-06,0.00057,0.00234,0.000364,3.5e-05,0.000227,0.00054,0.000102,0.000391,0.000737,0.000125,0.000161,0.000306
M2,0.000309,0.000178,0.000576,0.000366,9.3e-05,0.000235,0.000202,0.000685,0.0,0.001782,0.001304,0.000325,0.000189,0.000241,0.000158,0.000102,0.000144,0.00081,0.000739,3.2e-05,0.000359
MAX,0.000103,0.0,0.000216,2.4e-05,0.000153,3.4e-05,0.0,0.000313,0.000453,0.00058,0.000129,1e-05,0.00016,0.000109,1.5e-05,0.000303,0.000165,2.4e-05,3.5e-05,1.2e-05,8.6e-05
MAXN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAX_COLORS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144,0.0,0.0,0.0
MAX_DIST,0.0,0.0,0.0,0.0,0.000139,0.0,0.0,0.0,7.3e-05,0.0,0.0,0.000124,5.5e-05,3.2e-05,0.0,1.2e-05,5.1e-05,5.4e-05,0.00069,0.0,0.0
MAX_MIN_COST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAX_WEIGHT,0.0,0.0,0.000267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,0.0,0.0,0.0
MIN,0.0,0.0,1.2e-05,2.4e-05,7.6e-05,0.0,1.6e-05,8.7e-05,0.000119,0.000294,0.000126,1.1e-05,1e-06,0.0,0.0,1e-06,0.000164,1e-06,1.7e-05,2e-06,8.1e-05
MOD,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,6e-06,1.3e-05
Main,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MaxProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min,0.0,0.0,0.0,0.0,0.000394,1e-06,0.0,0.0,0.0,0.0,0.0,2.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.4e-05,0.0,0.0
Min_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.014399,0.016857,0.017476,0.020845,0.021381,0.020084,0.021294,0.018683,0.017082,0.024158,0.023554,0.018081,0.020486,0.017066,0.017695,0.019132,0.018731,0.018493,0.017845,0.015437,0.013981
NAMES,4e-05,0.00016,0.00012,2.7e-05,1e-05,8.3e-05,3.4e-05,7.2e-05,0.000135,5.2e-05,0.0,3.1e-05,5.7e-05,8.1e-05,7.5e-05,0.000126,0.00012,6.6e-05,0.000184,4.5e-05,0.000323
NMAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,0.0,0.0,1e-06,0.0,0.000108,3e-06,7.4e-05,1.9e-05,1.2e-05,0.0,4.3e-05,5.6e-05,4.9e-05,1.5e-05,0.0,7e-06,1.8e-05,2.2e-05,3.5e-05,0.0,1.6e-05
NUM,0.000241,0.00041,0.000194,7.7e-05,0.0,0.0,1.4e-05,0.0,0.0,0.000143,0.0,4e-05,2.3e-05,0.0,0.000377,0.0,0.0,3.7e-05,0.0,0.0,6e-06
Nal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NextL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NextR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9e-05,0.0
OK,3.7e-05,9.6e-05,0.000147,0.000608,0.0,7.6e-05,4e-05,0.0,4.4e-05,4.2e-05,3.1e-05,0.0,5.2e-05,0.000131,0.000475,0.0,0.0,1.5e-05,1.7e-05,3e-06,0.0
OP_BIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.006226,0.006063,0.004368,0.005245,0.007669,0.004489,0.007175,0.003946,0.004369,0.004815,0.00877,0.005757,0.008709,0.003869,0.003893,0.006175,0.005391,0.00514,0.003384,0.004137,0.002763
PARTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000131,0.0,0.0,1.4e-05,0.0,0.0
PS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0
Position,0.0,0.0,0.0,0.0,0.0,0.0,0.000148,6.2e-05,0.0,0.0,0.0,0.0,0.0,4.2e-05,0.0,0.000112,0.0,0.0,0.0,0.0,0.0
Prev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.003547,0.00354,0.00706,0.003243,0.001191,0.004381,0.007302,0.003958,0.004032,0.004359,0.004209,0.003963,0.005238,0.002589,0.003209,0.00449,0.003673,0.004039,0.005235,0.006368,0.002971
Queue,0.0,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,8.6e-05,0.0,0.0
R,0.012164,0.010344,0.009111,0.009746,0.011883,0.007408,0.011872,0.010991,0.008488,0.008834,0.014713,0.010993,0.011184,0.008087,0.010716,0.00721,0.010186,0.008558,0.009479,0.008382,0.005937
RI,0.0,9.3e-05,4.6e-05,0.0,0.0,5.2e-05,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0
RS,0.0,0.0,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-05,9e-06,0.0,0.0,0.0,1.3e-05,0.0,3.6e-05,1.3e-05,1.5e-05,0.0,0.0
Racer,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.0,0.0,0.0,0.0,0.0,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Record,0.0,2.3e-05,5.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000667,0.0,0.0,0.0,0.000209,9e-06,0.0,0.0,0.0,0.0,0.0,0.0
S,0.003217,0.004327,0.004428,0.006887,0.003948,0.003681,0.0073,0.00769,0.005903,0.008188,0.008284,0.005126,0.006266,0.004454,0.004116,0.005363,0.008581,0.004941,0.003646,0.005033,0.004255
S1,0.000267,3.9e-05,0.0,0.000298,0.003894,7.9e-05,0.000154,0.001352,0.001338,0.001138,0.001507,7.7e-05,0.001556,0.000583,0.000844,0.00065,0.000514,0.001238,0.000515,0.000438,0.000148
S2,0.000267,5e-05,0.0,0.000312,0.00363,7.6e-05,0.000154,0.000862,0.000411,0.001123,0.001637,7.4e-05,0.000843,2.1e-05,0.000797,0.000393,0.000353,0.001238,0.000137,0.000513,0.000148
Set,0.0,0.000228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126,0.0,3.7e-05,0.0,0.0,0.0,0.000189,0.0,0.0,2.3e-05,0.0
Sets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Si,0.0,0.000146,0.0,0.0,0.000298,4.2e-05,0.0,0.0,0.0,0.000201,0.0,0.0,0.0,0.0,8.2e-05,0.0,0.0,0.0,0.0,0.0,1e-05
Solve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Span,0.0,8.3e-05,0.0,0.0,0.0,0.0,8.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0
SystemExit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.008012,0.009139,0.006176,0.010579,0.00631,0.011254,0.009646,0.008492,0.007837,0.011772,0.015649,0.01075,0.009108,0.007022,0.007908,0.007404,0.012822,0.008307,0.009478,0.009813,0.007595
Target,0.0,0.0,0.000147,4.5e-05,0.0,0.0,3.5e-05,1.2e-05,0.0,0.0,0.000397,0.0,5e-06,0.0,1e-05,4e-06,0.0,0.000121,2.3e-05,9.9e-05,0.000205
Task,8.3e-05,0.0,0.0,0.0,1.2e-05,0.0,7.1e-05,5.9e-05,1.2e-05,0.0,2e-06,1.2e-05,4.2e-05,1e-05,0.0,0.0,0.0,0.0,5.5e-05,7.3e-05,6e-06
Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tf,0.0,0.0,0.0,0.0,0.000893,0.0,0.0,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1e-05,2.5e-05,0.0
Tier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tp,0.0,0.0,0.000178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000151,0.0,0.0,0.0,0.0,0.0,0.00042,0.0
U,0.003175,0.002731,0.001672,0.006564,0.003664,0.002234,0.002492,0.003012,0.001726,0.00236,0.004144,0.001151,0.002806,0.004058,0.002874,0.002942,0.002468,0.003736,0.003349,0.00297,0.003703
U1,0.0,0.0,2.4e-05,0.001002,6.7e-05,1.5e-05,2.8e-05,6.4e-05,0.0,0.0,0.000212,0.0,0.0,0.0,0.000112,0.0,0.0,2.6e-05,0.0,0.0,0.000507
U2,0.0,0.0,2.4e-05,0.002004,6.7e-05,1.5e-05,0.0,1.1e-05,0.0,0.0,0.000212,0.0,0.0,0.0,0.0,0.0,0.0,7.6e-05,0.0,0.000378,0.000635
UNSAFE_AFTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNSAFE_BEFORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USB,0.0,0.0,0.0,0.0,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.003259,0.006685,0.004905,0.003023,0.003454,0.004296,0.00742,0.007763,0.004347,0.006785,0.003191,0.003992,0.003941,0.005135,0.004128,0.003621,0.008116,0.005151,0.004882,0.004508,0.002668
ValueError,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vec,0.0,0.0,7.1e-05,0.0,0.0,0.0,0.0,0.0,0.000257,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
Vector,0.0,0.0,0.0,5e-05,0.0,0.0,1.2e-05,0.0,0.0,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.011706,0.008524,0.007282,0.007945,0.011828,0.010525,0.007409,0.006909,0.009431,0.008332,0.009028,0.008521,0.008544,0.007821,0.005131,0.010215,0.006141,0.009113,0.007993,0.008587,0.006747
X,0.024855,0.022051,0.022275,0.023015,0.023847,0.018275,0.017948,0.024902,0.016306,0.018244,0.017556,0.015149,0.020127,0.017267,0.016082,0.021444,0.016914,0.014929,0.020087,0.017347,0.013209
X1,0.001559,0.000431,0.000556,0.0013,0.000549,0.000959,0.000382,0.00058,0.000379,0.000831,0.000199,0.000941,0.001508,0.000852,0.001061,0.001272,0.000237,0.001131,0.000816,0.000982,0.000821
X2,0.001603,0.001936,0.000286,0.001551,0.000525,0.00105,0.000324,0.000298,0.000431,0.000835,0.000199,0.00106,0.001797,0.000879,0.000712,0.001308,0.000233,0.000644,4.2e-05,0.000866,0.000912
Xy,2.3e-05,0.0,0.000153,0.0,0.000189,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000391,0.0,0.0,0.0,0.00027,0.0,0.0
Y,0.009055,0.009323,0.007038,0.006585,0.008331,0.008399,0.007729,0.009184,0.007307,0.006169,0.007395,0.003761,0.009212,0.005614,0.008417,0.01018,0.007952,0.006173,0.007836,0.00486,0.004923
Z,0.002889,0.005072,0.002942,0.00506,0.003291,0.00615,0.003104,0.004935,0.00169,0.003719,0.003908,0.004356,0.004544,0.006637,0.001799,0.00501,0.004979,0.002859,0.004684,0.002668,0.003143
_,0.007876,0.00944,0.007547,0.007559,0.007125,0.006517,0.00486,0.007214,0.005455,0.007426,0.006442,0.005778,0.008062,0.006962,0.009311,0.004373,0.008748,0.008094,0.006145,0.012109,0.0085
_A,0.000289,4e-06,1e-06,2.2e-05,0.0,0.0,8e-06,2.6e-05,2e-06,0.0,7e-06,0.000271,2.5e-05,0.000507,0.000284,2e-06,0.000113,1e-06,3.4e-05,0.000109,4.5e-05
_B,0.0,7e-05,7.2e-05,0.000244,2.5e-05,5e-05,8.3e-05,2e-05,5e-06,0.0,1e-06,8.4e-05,3e-06,0.000119,0.000213,2e-06,0.000102,1e-06,4e-06,0.0,7e-06
__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.00011
