Skipped LLM_code/arxiv_dataset/2020/Q1/A-Two-Step-Disentanglement-Method/DisAdvNet.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/test/csiq/test.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 44)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/test/live/test.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 43)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/test/livec/test.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 44)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/src/tools/layers_ft.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/src/mine_layer/pt_losslayer_livec.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 15)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/src/mine_layer/pt_losslayer_tid2013.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/src/mine_layer/pt_losslayer_live.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/src/mine_layer/pt_datalayer_livec.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q1/CLRIQA/src/mine_layer/pt_losslayer_csiq.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2020/Q1/explain_invertible/train_inverse_net_1d.py: invalid syntax (<unknown>, line 202)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/main.py: invalid syntax (<unknown>, line 218)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/python/caffe/coord_map.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 79)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/syntaxnet/syntaxnet/conll2tree.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 91)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/tools/extra/summarize.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/tools/extra/parse_log.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 175)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/tools/extra/resize_and_crop_images.py: multiple exception types must be parenthesized (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/examples/TextField/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 29)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/examples/TextField/evaluation/ic15/seg2bbox.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/namignizer/names.py: expected an indented block after 'if' statement on line 256 (<unknown>, line 262)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/examples/TextField/evaluation/ic15/rrc_evaluation_funcs.py: multiple exception types must be parenthesized (<unknown>, line 307)
Skipped LLM_code/arxiv_dataset/2020/Q1/validating_validation_supp_info/Mayr_reanalysis/data_preprocessing/make_sparse_fps.py: invalid syntax (<unknown>, line 25)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/examples/TextField/evaluation/total/Deteval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 326)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/examples/TextField/evaluation/total/seg2bbox.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/TextField/src/caffe/test/test_data/generate_sample_data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/video_prediction/prediction_train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 186)
Skipped LLM_code/arxiv_dataset/2020/Q1/lstar_extraction/Specific_Language_Generation.py: invalid syntax (<unknown>, line 93)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/text2bin.py: multiple exception types must be parenthesized (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/swivel.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 166)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/prep.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 121)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/nearest.py: multiple exception types must be parenthesized (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2020/Q1/WorldGeneration/evennia-engine/evennia/evennia/contrib/ingame_python/tests.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/wordsim.py: multiple exception types must be parenthesized (<unknown>, line 45)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_gpu/neural_gpu_trainer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 444)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/differential_privacy/privacy_accountant/python/gaussian_moments.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 111)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/differential_privacy/multiple_teachers/analysis.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 142)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/im2txt/im2txt/evaluate.py: multiple exception types must be parenthesized (<unknown>, line 146)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/AdditiveGaussianNoiseAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/MaskingNoiseAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/AutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 47)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/VariationalAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/compression/decoder.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/compression/encoder.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/compression/msssim.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 194)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/data_utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 539)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/neural_programmer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 116)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/wiki_data.py: invalid syntax (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 548)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/parameters.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 62)
Skipped LLM_code/arxiv_dataset/2020/Q1/WSIRegistration/setRegionOfInterest.py: '[' was never closed (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/street/python/vgsl_model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 173)
Skipped LLM_code/arxiv_dataset/2020/Q1/ego_action_recognition/utils/confusion_matrix.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q1/kwak_wavelets/kwak/w_analysis.py: unexpected indent (<unknown>, line 73)
Skipped LLM_code/arxiv_dataset/2020/Q1/ego_action_recognition/utils/extract_rgb_cnn_features.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 194)
Skipped LLM_code/arxiv_dataset/2020/Q1/ego_action_recognition/utils/.ipynb_checkpoints/extract_rgb_cnn_features-checkpoint.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 194)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/score.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/generate.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/eval_lm.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/setup.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/interactive.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/preprocess.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/Drop-Activation/cifar.py: invalid syntax (<unknown>, line 248)
Skipped LLM_code/arxiv_dataset/2020/Q1/bilbo-bagging-hybrid/models/ann/ann.py: unexpected indent (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/bilbo-bagging-hybrid/models/cnn/cnn.py: unexpected indent (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2020/Q1/bilbo-bagging-hybrid/models/bilbo-hybrid/bilbo-hybrid.py: unexpected indent (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/bilbo-bagging-hybrid/models/mit/mit.py: unexpected indent (<unknown>, line 8)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PRDARTS/test.py: invalid syntax (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PRDARTS/test_imagenet.py: invalid syntax (<unknown>, line 94)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/for_other.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 45)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/cross_validation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2020/Q1/Autoregressive-Predictive-Coding/prepare_data.py: unterminated string literal (detected at line 14) (<unknown>, line 14)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/decode_json.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q1/ChempyMulti/Chempy/input/yields/NuGrid/read_yields.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/cfrbm/nosparse_item_based.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 177)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/cfrbm/nosparse_user_based.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 197)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/cfrbm/nosparse_genre_user_based.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 323)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/cfrbm/nosparse_genre_item_based.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 210)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/cfrbm/sparse_user_based.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 168)
Skipped LLM_code/arxiv_dataset/2020/Q1/LC-CFRBM/cfrbm/nosparse_info_user_based.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 269)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PC-DARTS/train_search.py: invalid syntax (<unknown>, line 176)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PC-DARTS/test.py: invalid syntax (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PC-DARTS/train.py: invalid syntax (<unknown>, line 159)
Skipped LLM_code/arxiv_dataset/2020/Q1/FofrFittingFunction/Python/main_lin.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2020/Q1/FofrFittingFunction/Python/main.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/models.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/general_controller.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/data_utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/FofrFittingFunction/camb_with_fitting_formula/python/cambPlots.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/controller.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2020/Q1/ganilla/datasets/miyazaki_downloader.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 54)
Skipped LLM_code/arxiv_dataset/2020/Q1/ganilla/datasets/scraper_openlibrary.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 190)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_optical_flow.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/GLOBALutils/GLOBALutils.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_scene_coordinate_map.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 22)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_scene_coordinate_map_list.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/anchos.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 84)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_optical_flow_list.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 63)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/vels.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 4)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/correlation.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 303)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/KFNet/eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 33)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/all.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/KFNet/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 143)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/correlation2.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 310)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Continuum/contest.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 117)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Continuum/continuum.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 301)
Skipped LLM_code/arxiv_dataset/2020/Q1/end2end-all-conv/dm_image.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 516)
Skipped LLM_code/arxiv_dataset/2020/Q1/end2end-all-conv/dm_keras_ext.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 203)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/SSEphem/update_ssephem.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2020/Q1/end2end-all-conv/ddsm_train/sample_patches_combined.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 103)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_update_ManualCheck.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 73)
Skipped LLM_code/arxiv_dataset/2020/Q1/end2end-all-conv/ddsm_train/heatmap_score.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_update_ceres.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 178)
Skipped LLM_code/arxiv_dataset/2020/Q1/end2end-all-conv/ddsm_train/sample_patches_main.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 92)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_compare.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 28)
Skipped LLM_code/arxiv_dataset/2020/Q1/end2end-all-conv/ddsm_train/image_clf_train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_update.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 183)
Skipped LLM_code/arxiv_dataset/2020/Q1/end2end-all-conv/ddsm_train/patch_clf_train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 91)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/test_cte_vertical.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RV_measure_onredspec.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 94)
Skipped LLM_code/arxiv_dataset/2020/Q1/ICRA2020/pose_graph_optimizer/mlp_read.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 64)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/nsdata.py: invalid syntax (<unknown>, line 211)
Skipped LLM_code/arxiv_dataset/2020/Q1/ICRA2020/pose_graph_optimizer/carto2g2o.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 174)
