Skipped LLM_code/arxiv_dataset/2023/Q4/ChatGPT-MBTI/Query_InsturctGPT.py: unindent does not match any outer indentation level (<unknown>, line 123)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1/light_sersic_x2__fixed_gnfw.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1/light_sersic_x2__fixed_grad.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1/light_sersic_x3__fixed_c.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1/light_sersic_x3__fixed_gnfw.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1_smbh/light_sersic_x2.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1_smbh/light_sersic_x2__clump.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1_smbh/light_sersic_x2__smbh_fixed.py: invalid syntax (<unknown>, line 190)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1_smbh/light_sersic_x3.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1_smbh/light_sersic_x3__smbh_free_centre.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/total/bpl/light_sersic_x2__fixed_centre.py: invalid syntax (<unknown>, line 191)
Skipped LLM_code/arxiv_dataset/2023/Q1/AdaptSky/AdaptSky [Commented Version] .py: invalid syntax (<unknown>, line 3)
Skipped LLM_code/arxiv_dataset/2023/Q1/AdaptSky/Sub-6.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 717)
Skipped LLM_code/arxiv_dataset/2023/Q1/FAST/eval/ic15/rrc_evaluation_funcs.py: multiple exception types must be parenthesized (<unknown>, line 310)
Skipped LLM_code/arxiv_dataset/2023/Q1/FAST/eval/ic15/rrc_evaluation_funcs_v1.py: multiple exception types must be parenthesized (<unknown>, line 306)
Skipped LLM_code/arxiv_dataset/2023/Q1/FAST/eval/ic15/rrc_evaluation_funcs_v2.py: multiple exception types must be parenthesized (<unknown>, line 309)
Skipped LLM_code/arxiv_dataset/2023/Q1/PVO/VO_Module/thirdparty/eigen/scripts/relicense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2023/Q1/PVO/VO_Module/thirdparty/lietorch/eigen/scripts/relicense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2023/Q1/PVO/VO_Module/thirdparty/tartanair_tools/download_training.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2023/Q3/PEGG-Net/helpers/transforms.py: multiple exception types must be parenthesized (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2023/Q3/LiteralKG/baselines/LaGAT/main.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/LiteralKG/baselines/LaGAT/models/kgcn.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/LiteralKG/baselines/LaGAT/run.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/ECT/utils/data_transforms.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/examples-v2/aspect_opinion_sentiment_category_extraction/inference.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/examples-v2/aspect_polarity_classification/convert_apc_to_atepc_dataset.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/examples-v2/aspect_polarity_classification/make_ABSA_dataset.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/examples-v2/aspect_sentiment_triplet_extration/inference.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/examples-v2/aspect_sentiment_triplet_extration/web_demo.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/examples-v2/text_adversarial_defense/text_adversarial_defense.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/augmentation/aug_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/framework/sampler_class/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/framework/sampler_class/imblanced_sampler.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/networks/losses/ClassImblanceCE.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/networks/losses/FocalLoss.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/networks/losses/LDAMLoss.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/ABSAInstruction/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/ABSAInstruction/dataset_list.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/CodeDefectDetection/dataset_utils/__classic__/data_utils_for_training.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/CodeDefectDetection/dataset_utils/cdd_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/utils/data_utils/preprocessing.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/utils/ensemble_prediction/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/utils/wrappers/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/utils/wrappers/wrappers.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/unit_test/test_09_atepc_inference.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/unit_test/test_10_apc_inference.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/Diffusion-GAN/diffusion-stylegan2/torch_utils/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/Diffusion-GAN/diffusion-stylegan2/torch_utils/misc.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/Diffusion-GAN/diffusion-stylegan2/torch_utils/ops/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/Diffusion-GAN/diffusion-stylegan2/torch_utils/persistence.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/ENVC/third_party/msda/test.py: unterminated string literal (detected at line 53) (<unknown>, line 53)
Skipped LLM_code/arxiv_dataset/2023/Q3/Variational-Waveguide-QED-Simulators/Figure2/XXZ/Operations.py: (unicode error) 'unicodeescape' codec can't decode bytes in position 106-107: truncated \xXX escape (<unknown>, line 110)
Skipped LLM_code/arxiv_dataset/2023/Q2/structured-kernel-cvpr23/utils/grid_search.py: expected ':' (<unknown>, line 37)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py: invalid syntax (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/__init__.py: invalid syntax (<unknown>, line 22)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/configuration_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 18)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 30)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_fast_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q2/Cuttlefish/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q2/MoStGAN-V/src/legacy.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/MoStGAN-V/src/metrics/frechet_inception_distance.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/MoStGAN-V/src/metrics/inception_score.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/MoStGAN-V/src/metrics/kernel_inception_distance.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/MoStGAN-V/src/metrics/metric_main.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/MoStGAN-V/src/metrics/metric_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
