Skipped LLM_code/arxiv_dataset/2023/Q4/fusdom/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/Multi_CLASS/scripts/one_time.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 73)
Skipped LLM_code/arxiv_dataset/2020/Q4/Multi_CLASS/scripts/thermo.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2020/Q4/Multi_CLASS/scripts/varying_neff.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2020/Q4/Multi_CLASS/scripts/varying_pann.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 76)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/create_tfrecord.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 38)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/models/research/cognitive_planning/envs/active_vision_dataset_env.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 940)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/models/research/cognitive_planning/train_supervised_active_vision.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 185)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/models/research/cognitive_planning/viz_active_vision_dataset_main.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/models/research/learning_unsupervised_learning/meta_objective/sklearn.py: Function parameters cannot be parenthesized (<unknown>, line 116)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/models/research/learning_unsupervised_learning/variable_replace.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 94)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/models/research/lexnet_nc/extract_paths.py: Lambda expression parameters cannot be parenthesized (<unknown>, line 83)
Skipped LLM_code/arxiv_dataset/2020/Q4/rethinking_bottleneck_design/mobile_deployment/tensorflow/slim/nets/mobilenet_v1_test.py: invalid decimal literal (<unknown>, line 353)
Skipped LLM_code/arxiv_dataset/2020/Q4/DIVE/config.py: invalid syntax (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2020/Q4/generic-pretrained-GEC/BART-GEC/translate_nbest.py: unterminated string literal (detected at line 21) (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q4/MetaGen/src/holophrasm/build_payout_data_set.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 84)
Skipped LLM_code/arxiv_dataset/2020/Q4/RS-GAN/utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2020/Q4/habitat-pointnav-aux/examples/visualization_examples.py: expected an indented block after function definition on line 123 (<unknown>, line 129)
Skipped LLM_code/arxiv_dataset/2020/Q4/simpleBAD/visualize.py: '(' was never closed (<unknown>, line 39)
Skipped LLM_code/arxiv_dataset/2020/Q4/NanoFlow/tacotron2_custom/utils.py: invalid syntax (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q4/mm-hand/baselines/PoseTransfer_convert_MHP.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 91)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/embedding_ELMO/elmo_sif_api.py: expected ':' (<unknown>, line 33)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/embedding_ELMO/sif_embedding.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/embedding_ELMO/src/eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 83)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/embedding_ELMO/src/proj_model_sentiment.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/embedding_ELMO/src/proj_model_sim.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/embedding_ELMO/src/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 108)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/lib_preprocessing.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/ormf/test_ormf.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 66)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/preprocess.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 47)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/rearrange.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 209)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/sbarnew.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/sentparser-k.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/sif_embedding.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/src/eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 83)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/src/proj_model_sentiment.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/src/proj_model_sim.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/src/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 108)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Preprocess/test_preprocess.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 47)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Pyramid/05_ps.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 19)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Pyramid/eduac.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Pyramid/graph.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 315)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Pyramid/lib_eduac.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 225)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Pyramid/lib_pyramid.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 282)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Pyramid/pyramid.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Pyramid/sanitycheck.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 181)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Scoring/lib_scoring.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/Scoring/scoring.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/Corpus/Pyramid Score/PyrEval/stanford.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 56)
Skipped LLM_code/arxiv_dataset/2020/Q4/summarization_bias/system/src/position_jumble.py: unindent does not match any outer indentation level (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2020/Q4/Nero/datagen/ida/py2/bin_extract.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 62)
Skipped LLM_code/arxiv_dataset/2020/Q4/Nero/datagen/ida/py2/bin_extract_common.py: Lambda expression parameters cannot be parenthesized (<unknown>, line 175)
Skipped LLM_code/arxiv_dataset/2020/Q4/pkwrap/egs/librispeech/v1/local/chain/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/pkwrap/egs/mini_librispeech/s5/local/chain/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/pkwrap/egs/mini_librispeech/s5/local/chain/tuning/model/1e.py: invalid syntax (<unknown>, line 74)
Skipped LLM_code/arxiv_dataset/2020/Q4/SDT-Training/fairseq_cli/eval_lm.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/SDT-Training/fairseq_cli/generate.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/SDT-Training/fairseq_cli/interactive.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/SDT-Training/fairseq_cli/preprocess.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/SDT-Training/fairseq_cli/score.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/SDT-Training/fairseq_cli/setup.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/SDT-Training/fairseq_cli/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q4/IPN-hand/online_test.py: invalid syntax (<unknown>, line 287)
Skipped LLM_code/arxiv_dataset/2020/Q4/paccmann_proteomics/paccmann_proteomics/run_token_classification.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 289)
Skipped LLM_code/arxiv_dataset/2020/Q4/beam_learn_supertagging/main.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 866)
Skipped LLM_code/arxiv_dataset/2020/Q4/beam_learn_supertagging/main_preprocess.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q4/beam_learn_supertagging/main_results.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 453)
Skipped LLM_code/arxiv_dataset/2020/Q4/beam_learn_supertagging/research_toolbox/tb_experiments.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 442)
Skipped LLM_code/arxiv_dataset/2020/Q4/EndoSLAM/Data_Augmentation/BLUR/blur.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 36)
Skipped LLM_code/arxiv_dataset/2020/Q4/Curriculum-Labeling/methods/consistency/ict.py: invalid syntax (<unknown>, line 148)
Skipped LLM_code/arxiv_dataset/2020/Q4/model-based-social-navigation/src/turtlebot/multiple_kobukis/scripts/kobuki_tf_broadcaster.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 34)
Skipped LLM_code/arxiv_dataset/2020/Q4/model-based-social-navigation/src/turtlebot/turtlebot_bringup/scripts/turtlebot_addr.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2020/Q4/model-based-social-navigation/src/turtlebot/turtlebot_create/create_node/src/create_node/create_sensor_handler.py: multiple exception types must be parenthesized (<unknown>, line 75)
Skipped LLM_code/arxiv_dataset/2020/Q4/model-based-social-navigation/src/turtlebot/turtlebot_create/create_node/src/create_node/roomba_sensor_handler.py: multiple exception types must be parenthesized (<unknown>, line 96)
Skipped LLM_code/arxiv_dataset/2020/Q4/model-based-social-navigation/src/turtlebot/turtlebot_teleop/src/turtlebot_teleop_key.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 106)
Skipped LLM_code/arxiv_dataset/2020/Q4/VD-BERT/vdbert/extract_visdial1_feature.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2020/Q4/SRASV/SD_PA/predicting.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 136)
Skipped LLM_code/arxiv_dataset/2020/Q4/Pumpkin/Temperatures/Misc/PlotToWebDirect.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 18)
Skipped LLM_code/arxiv_dataset/2020/Q1/AdaptiveMaskedProxies/configs/fcn8s_pascal_normalize_training.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/kaepora/src/add_new_columns.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 37)
Skipped LLM_code/arxiv_dataset/2020/Q1/kaepora/src/datafidelity.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 183)
Skipped LLM_code/arxiv_dataset/2020/Q1/kaepora/src/prep.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 433)
Skipped LLM_code/arxiv_dataset/2020/Q1/kaepora/src/test_dered.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2020/Q3/DDParser/tools/representation/demo/ERNIE/utils/cmrc2018_eval.py: invalid syntax (<unknown>, line 34)
Skipped LLM_code/arxiv_dataset/2020/Q3/DeepKNNDefense/FeatureCollision_AlexNet/poisoin-end-to-end-training-CIFAR10-master/find_closest_3.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q3/DeepKNNDefense/FeatureCollision_AlexNet/poisoin-end-to-end-training-CIFAR10-master/utils_cifar10_for_multiPoison.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 315)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/bbox/bbox_regression.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/dataset/cityscape.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 116)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/dataset/cityscape_video.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 37)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/dataset/cityscape_video_val.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/dataset/cityscape_video_val_sequence.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/dataset/imagenet_vid.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/dataset/imagenet_vid_eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 92)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/dataset/imdb.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 87)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/rpn/rpn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 358)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/utils/load_data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/utils/load_model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 15)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lib/utils/roidb.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/core/tester.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 92)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/demo.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 148)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/function/test_rcnn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/lsts_network_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/operator_py/proposal.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 34)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/operator_py/proposal_target.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 63)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/symbols/lsts_network_gaussian.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 953)
Skipped LLM_code/arxiv_dataset/2020/Q3/LSTS/lsts_rfcn/symbols/lsts_network_uniform.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 953)
Skipped LLM_code/arxiv_dataset/2020/Q3/exploring_exploration/pretrain_reconstruction.py: unindent does not match any outer indentation level (<unknown>, line 109)
Skipped LLM_code/arxiv_dataset/2020/Q3/Brain-Midline-Detection/lib/utils/dicom.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 43)
Skipped LLM_code/arxiv_dataset/2020/Q3/CAP2/cap2/capalyzer/pangea/parsers.py: invalid syntax (<unknown>, line 3)
Skipped LLM_code/arxiv_dataset/2020/Q2/lss_montepython/montepython/likelihoods/boss_bao_only/__init__.py: Contains null bytes
Skipped LLM_code/arxiv_dataset/2020/Q2/LTMU/RTMD_MU/RT_MDNet/Run.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 96)
Skipped LLM_code/arxiv_dataset/2020/Q2/LTMU/RTMD_MU/RT_MDNet/modules/prepro_data_imagenet.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q2/LTMU/RTMD_MU/RT_MDNet/train_mrcnn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 136)
Skipped LLM_code/arxiv_dataset/2020/Q2/COVID19-LockdownFr/hydrate-notdqm.py: unterminated string literal (detected at line 20) (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2020/Q2/TensorFI/TensorFI/fiConfig.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 162)
Skipped LLM_code/arxiv_dataset/2020/Q2/TensorFI/TensorFI/injectFault.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 185)
Skipped LLM_code/arxiv_dataset/2020/Q2/GraphSfM/lib/mirror/data/holidays/holidays_map.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 81)
Skipped LLM_code/arxiv_dataset/2020/Q2/DREGCN/model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 24)
Skipped LLM_code/arxiv_dataset/2020/Q2/DREGCN/read.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q2/DREGCN/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 220)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/GRec_TF_Pretrain.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 38)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/NextitNet_TF_Pretrain.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 51)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_cau_parallel.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_cau_serial.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_cau_serial_lambdafm.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q2/GCAN/Training.py: invalid syntax (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2020/Q2/GCAN/data/data_preparation.py: invalid syntax (<unknown>, line 87)
Skipped LLM_code/arxiv_dataset/2020/Q2/GCAN/model/GCAN.py: invalid syntax (<unknown>, line 180)
Skipped LLM_code/arxiv_dataset/2025/Q1/FracTrain/fractrain_cifar/util_swa.py: invalid syntax (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2022/Q4/QuaRL/actorQ/d4pg/actor_main.py: unindent does not match any outer indentation level (<unknown>, line 91)
Skipped LLM_code/arxiv_dataset/2022/Q4/MultiRegEval/CoMIR/scripts/compute_sift.py: multiple exception types must be parenthesized (<unknown>, line 115)
Skipped LLM_code/arxiv_dataset/2022/Q1/fairseq_multi_fix/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/project-NN-Pytorch-scripts/project/01-nsf/hn-nsf/._main.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan2_tf_official/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan2_tf_official/training/networks_stylegan2.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/submission/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/submission/_internal/run.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/submission/run_context.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/tflib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/tflib/autosummary.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/tflib/network.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/dnnlib/tflib/tfutil.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/BIGPrior/code/mganprior/models/stylegan_tf_official/training/networks_stylegan.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q1/pointingqa/dataset-code/intentqa/ObjPartUI/approve_assignments.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 37)
