Skipped LLM_code/arxiv_dataset/2023/Q4/blox/placement/synergy_placement.py: expected ':' (<unknown>, line 53)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/iam_cesc/generate/41_output.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/iam_cesc/generate/40_combine.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/iam_cesc/finetune/model.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/10_parse.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/11_align.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/20_merge.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/42_reindex.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/12_convert.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/30_refine.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/41_output.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argsme/generate/40_combine.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/10_parse.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/11_align.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/20_merge.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/42_reindex.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/12_convert.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/30_refine.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/41_output.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/generate/40_combine.py: invalid decimal literal (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Hi-ArG/argkp2021/finetune/model.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/InternVideo/InternVideo1/Downstream/Open-Set-Action-Recognition/experiments/libMR/estimate_wscores.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphUnsupASR/scripts/.ipynb_checkpoints/concat_features-checkpoint.py: Contains null bytes
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphUnsupASR/scripts/.ipynb_checkpoints/map_phone_to_int-checkpoint.py: Contains null bytes
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphUnsupASR/scripts/.ipynb_checkpoints/find_max_segment_length-checkpoint.py: Contains null bytes
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphUnsupASR/scripts/.ipynb_checkpoints/debug_textgrid-checkpoint.py: Contains null bytes
Skipped LLM_code/arxiv_dataset/2023/Q4/CAN/models/eval_for_leaderboard.py: invalid syntax (<unknown>, line 81)
Skipped LLM_code/arxiv_dataset/2023/Q4/Occupancy-MAE/pcdet/datasets/kitti/kitti_object_eval_python/evaluate.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q4/Transforemr-Clinic/fairseq/fairseq_cli/setup.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Transforemr-Clinic/fairseq/fairseq_cli/eval_lm.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Transforemr-Clinic/fairseq/fairseq_cli/generate.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Transforemr-Clinic/fairseq/fairseq_cli/preprocess.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Transforemr-Clinic/fairseq/fairseq_cli/score.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Transforemr-Clinic/fairseq/fairseq_cli/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/Transforemr-Clinic/fairseq/fairseq_cli/interactive.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py: invalid syntax (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_missing_tokenization_test/cookiecutter-template-{{cookiecutter.modelname}}/test_tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/configuration_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 18)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 30)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_fast_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q4/ParroT/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/__init__.py: invalid syntax (<unknown>, line 19)
Skipped LLM_code/arxiv_dataset/2023/Q4/PromptQG/train/AQG_T5.py: invalid syntax (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2023/Q4/PromptQG/train/AQG_MBART.py: invalid syntax (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2023/Q4/PromptQG/train/AQG_Pegasus.py: invalid syntax (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2023/Q4/PromptQG/train/AQG_BART.py: invalid syntax (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2023/Q4/ChatGPT-promises-and-pitfalls/Figures/listing4.py: expected an indented block after function definition on line 4 (<unknown>, line 8)
Skipped LLM_code/arxiv_dataset/2023/Q4/ChatGPT-promises-and-pitfalls/Figures/listing5.py: expected an indented block after function definition on line 2 (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q4/DMIB/prognosis_tasks/train_fuse_covid_ML.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 222)
Skipped LLM_code/arxiv_dataset/2023/Q4/SpeechAdvReprogram/prepare_lt_data.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/SpeechAdvReprogram/prepare_ar_data.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/SpeechAdvReprogram/prepare_dm_data.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/DMVCR/models/eval_for_leaderboard.py: invalid syntax (<unknown>, line 81)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/HAL/calibrate_realsense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 69)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Estimation/tests/test_gtsam01.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Estimation/tests/og_gtsam_methods.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/system_state_live_plotter.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 319)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/obj_apriltag_pose_in_world_from_camera.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 34)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/ground_truth_representation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 163)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/jog_test01.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 123)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/wrench_cone_estimation_convex_hull.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 117)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/calibrate_realsense_old.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Deprecated/dummy_juggle_script.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 318)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Modelling/modular_barrier_controller.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 152)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/PlottingandVisualization/qp_debug_plot_node.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 93)
Skipped LLM_code/arxiv_dataset/2023/Q4/arkouda-njit/arachne_development/test/client/benchmarks/jaccard.py: invalid decimal literal (<unknown>, line 208)
Skipped LLM_code/arxiv_dataset/2023/Q4/class_spartacous/notebooks/firstcell.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q4/class_spartacous/notebooks/.ipynb_checkpoints/firstcell-checkpoint.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q4/EEG_Riemannian/code/load_data.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2023/Q4/fusdom/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/mater-of-our-EMNLP2023-paper/DAG-ECPE_ERC/model.py: expected an indented block after 'if' statement on line 365 (<unknown>, line 367)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_distillation/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/RACK/two_stream_fusion.py: unterminated string literal (detected at line 10) (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/dnnlib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/persistence.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/misc.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/ops/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/DPViT/eval/fseval.py: unterminated string literal (detected at line 233) (<unknown>, line 233)
Skipped LLM_code/arxiv_dataset/2023/Q4/DPViT/utilities/utils.py: invalid syntax (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/interpolation/tf_interpolate_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/interpolation/visu_interpolation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 26)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/grouping/test_knn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/grouping/tf_grouping_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2023/Q4/ForPlane/tools/generate_pointclouds.py: invalid decimal literal (<unknown>, line 24)
Skipped LLM_code/arxiv_dataset/2023/Q4/UniRef/conversion/download_objects365_v2.py: invalid syntax (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2023/Q4/CVTNet/train/train_seqcvt.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/conv-net/data.py: expected an indented block after function definition on line 39 (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/util/Terminology.py: unmatched ')' (<unknown>, line 84)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/sieves/SimpleNameSieve.py: invalid syntax (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/sieves/PartialMatchSieve.py: expected 'else' after 'if' expression (<unknown>, line 45)
Skipped LLM_code/arxiv_dataset/2023/Q4/CrossBind/datasets/cath_decoys/protein_dataset.py: unexpected indent (<unknown>, line 267)
Skipped LLM_code/arxiv_dataset/2023/Q4/NAS-for-CSMRI/models/nas/search_mri.py: invalid syntax (<unknown>, line 268)
Skipped LLM_code/arxiv_dataset/2023/Q4/LibintX/include/eigen3/scripts/relicense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2023/Q4/SEED/SEED_Tokenizer/lavis/models/blip2_models/blip2_qformer_codebook_all_image.py: unindent does not match any outer indentation level (<unknown>, line 355)
