Skipped LLM_code/arxiv_dataset/2023/Q4/blox/placement/synergy_placement.py: expected ':' (<unknown>, line 53)
Skipped LLM_code/arxiv_dataset/2023/Q4/ChatGPT-promises-and-pitfalls/Figures/listing4.py: expected an indented block after function definition on line 4 (<unknown>, line 8)
Skipped LLM_code/arxiv_dataset/2023/Q4/ChatGPT-promises-and-pitfalls/Figures/listing5.py: expected an indented block after function definition on line 2 (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q4/DMIB/prognosis_tasks/train_fuse_covid_ML.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 222)
Skipped LLM_code/arxiv_dataset/2023/Q4/mater-of-our-EMNLP2023-paper/DAG-ECPE_ERC/model.py: expected an indented block after 'if' statement on line 365 (<unknown>, line 367)
Skipped LLM_code/arxiv_dataset/2023/Q4/RACK/two_stream_fusion.py: unterminated string literal (detected at line 10) (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/dnnlib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/misc.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/ops/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/stable_backdoor_purification/resource/ssba/torch_utils/persistence.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q4/DPViT/eval/fseval.py: unterminated string literal (detected at line 233) (<unknown>, line 233)
Skipped LLM_code/arxiv_dataset/2023/Q4/DPViT/utilities/utils.py: invalid syntax (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/grouping/test_knn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/grouping/tf_grouping_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/interpolation/tf_interpolate_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2023/Q4/LCDNet/tf_ops/interpolation/visu_interpolation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 26)
Skipped LLM_code/arxiv_dataset/2023/Q4/ForPlane/tools/generate_pointclouds.py: invalid decimal literal (<unknown>, line 24)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/conv-net/data.py: expected an indented block after function definition on line 39 (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/sieves/PartialMatchSieve.py: expected 'else' after 'if' expression (<unknown>, line 45)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/sieves/SimpleNameSieve.py: invalid syntax (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2023/Q4/GraphPrompt/Code/baselines/bne/cnn_norm_resources/cnn_norm_codes/util/Terminology.py: unmatched ')' (<unknown>, line 84)
Skipped LLM_code/arxiv_dataset/2023/Q4/CrossBind/datasets/cath_decoys/protein_dataset.py: unexpected indent (<unknown>, line 267)
Skipped LLM_code/arxiv_dataset/2023/Q1/MRI_IMPORTANT_NET/scrs/config.py: unterminated string literal (detected at line 6) (<unknown>, line 6)
Skipped LLM_code/arxiv_dataset/2023/Q1/codepod/ui/src/tests/python3.8-grammar.py: expected an indented block after function definition on line 319 (<unknown>, line 321)
Skipped LLM_code/arxiv_dataset/2023/Q3/MolecularEL/Multi-modalityRegistration/airlab/airlab/utils/imageLoader.py: 'utf-8' codec can't decode byte 0xe9 in position 9340: invalid continuation byte
Skipped LLM_code/arxiv_dataset/2023/Q3/CE-MRI/scrs/config.py: unterminated string literal (detected at line 6) (<unknown>, line 6)
Skipped LLM_code/arxiv_dataset/2023/Q3/AttT2M/models/vqvae.py: expected ':' (<unknown>, line 25)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/examples-v2/universal_sentiment_analysis/inference.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/AspectSentimentTripletExtraction/dataset_utils/aste_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/CodeDefectDetection/dataset_utils/__classic__/data_utils_for_inference.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/configuration/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/dataset_utils/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/dataset_utils/dataset_list.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/instructor/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/models/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/prediction/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/tasks/UniversalSentimentAnalysis/trainer/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q3/PyABSA/pyabsa/utils/ensemble_prediction/ensemble_prediction.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/tbv_slam_public/coral_alignment_quality/python/parameters.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q2/tbv_slam_public/coral_alignment_quality/script/oxford/eval.py: expected ':' (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2020/Q3/transformers/templates/adding_a_missing_tokenization_test/cookiecutter-template-{{cookiecutter.modelname}}/test_tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2025/Q1/PromptExtractionEval/data/preprocess_legalLAMA.py: expected an indented block after function definition on line 361 (<unknown>, line 369)
Skipped LLM_code/arxiv_dataset/2025/Q1/CISS/experiments.py: invalid syntax (<unknown>, line 406)
Skipped LLM_code/arxiv_dataset/2022/Q4/PACMAN/docs/source/media/models/formatter_cutout.py: unexpected indent (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q4/PACMAN/docs/source/media/models/functions_cutout2.py: unexpected indent (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q4/PACMAN/docs/source/media/models/functions_cutout3.py: unexpected indent (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2024/Q4/UniAudio/UniAudio/egs/SE/data_scripts/merge_then_split.py: expected an indented block after 'for' statement on line 40 (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2024/Q4/UniAudio/UniAudio/egs/TTS/data_scripts/merge_then_split.py: expected an indented block after 'for' statement on line 40 (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2024/Q4/UniAudio/UniAudio/egs/VC/data_scripts/merge_then_split.py: expected an indented block after 'for' statement on line 40 (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2024/Q4/UniAudio/UniAudio/tools/data_scripts/merge_then_split.py: expected an indented block after 'for' statement on line 40 (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2024/Q1/human_visual_diet/training_models/HDNet/submit_make_handmade_annotation_crops.py: invalid syntax (<unknown>, line 11)
Skipped LLM_code/arxiv_dataset/2024/Q1/EnCo-pytorch/util/SWD/cal_sliced_wasserstein.py: invalid syntax (<unknown>, line 24)
Skipped LLM_code/arxiv_dataset/2024/Q3/sim2real-ur-gym-gazebo/ur_control/scripts/moveit_tutorial.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 126)
Skipped LLM_code/arxiv_dataset/2024/Q2/amr_llm/code/create_slang.py: invalid decimal literal (<unknown>, line 88)
Skipped LLM_code/arxiv_dataset/2024/Q2/amr_llm/code/tct.py: invalid decimal literal (<unknown>, line 25)
Skipped LLM_code/arxiv_dataset/2021/Q1/InfoBERT/SQuAD/eval_adv_squad.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 85)
