Skipped ./github_code\2020\HA-GAN\evaluation/fid_score.py: expression cannot contain assignment, perhaps you meant "=="? (<unknown>, line 60)
Skipped ./github_code\2021\aqt\aqt/jax/v2/aqt_dot_general.py: invalid syntax (<unknown>, line 489)
Skipped ./github_code\2024\fca\configs/_base_/models/swin_transformer/base_224_EDIT.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code\2024\fca\configs/_base_/models/swin_transformer_v2/base_256_EDIT.py: invalid syntax (<unknown>, line 12)
Skipped ./github_code\2024\fca\configs/_base_/models/t2t-vit-t-14_EDIT.py: invalid syntax (<unknown>, line 29)
Skipped ./github_code\2024\fca\configs/_base_/models/vgg16_EDIT.py: invalid syntax (<unknown>, line 4)
Skipped ./github_code\2024\fca\configs/_base_/models/vit-base-p16_EDIT.py: invalid syntax (<unknown>, line 20)
Skipped ./github_code\2024\fca\configs/conformer/conformer-base-p16_8xb128_in1k_EDIT.py: invalid syntax (<unknown>, line 18)
Skipped ./github_code\2024\fca\configs/convnext/convnext-base_32xb128_in1k_EDIT.py: invalid syntax (<unknown>, line 32)
Skipped ./github_code\2024\fca\configs/convnext_v2/convnext-v2-base_32xb32_in1k_EDIT.py: invalid syntax (<unknown>, line 44)
Skipped ./github_code\2024\fca\configs/efficientformer/efficientformer-l1_8xb128_in1k_EDIT.py: invalid syntax (<unknown>, line 15)
Skipped ./github_code\2024\fca\configs/efficientnet/efficientnet-b3_8xb32_in1k_EDIT.py: invalid syntax (<unknown>, line 33)
Skipped ./github_code\2024\fca\configs/efficientnet_v2/efficientnetv2-m_8xb32_in21k_EDIT.py: invalid syntax (<unknown>, line 13)
Skipped ./github_code\2024\fca\configs/efficientnet_v2/efficientnetv2-s_8xb32_in21k_EDIT.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code\2024\fca\configs/inception_v3/inception-v3_8xb32_in1k_EDIT.py: invalid syntax (<unknown>, line 29)
Skipped ./github_code\2024\fca\configs/mobilenet_v3/mobilenet-v3-small_8xb128_in1k_EDIT.py: invalid syntax (<unknown>, line 36)
Skipped ./github_code\2024\fca\configs/mobilevit/mobilevit-small_8xb128_in1k_EDIT.py: invalid syntax (<unknown>, line 40)
Skipped ./github_code\2024\fca\configs/shufflenet_v1/shufflenet-v1-1x_16xb64_in1k_EDIT.py: invalid syntax (<unknown>, line 15)
Skipped ./github_code\2024\fca\configs/shufflenet_v2/shufflenet-v2-1x_16xb64_in1k_EDIT.py: invalid syntax (<unknown>, line 15)
Skipped ./github_code\2024\fca\configs/swin_transformer/swin-base_16xb64_in1k_EDIT.py: invalid syntax (<unknown>, line 18)
Skipped ./github_code\2024\fca\configs/swin_transformer_v2/swinv2-base-w16_16xb64_in1k-256px_EDIT.py: invalid syntax (<unknown>, line 18)
Skipped ./github_code\2024\fca\configs/swin_transformer_v2/swinv2p1-base-w16_16xb64_in1k-256px_EDIT.py: invalid syntax (<unknown>, line 18)
Skipped ./github_code\2024\fca\configs/t2t_vit/t2t-vit-t-14_8xb64_in1k_EDIT.py: invalid syntax (<unknown>, line 58)
Skipped ./github_code\2024\fca\configs/vision_transformer/vit-base-p16_64xb64_in1k-384px_EDIT.py: invalid syntax (<unknown>, line 45)
Skipped ./github_code\2024\fish-speech\fish_speech/models/text2semantic/llama.py: invalid syntax (<unknown>, line 85)
Skipped ./github_code\2024\fish-speech\tools/server/agent/pre_generation_utils.py: invalid syntax (<unknown>, line 21)
Skipped ./github_code\2024\fish-speech\tools/server/inference.py: invalid syntax (<unknown>, line 19)
Skipped ./github_code\2024\fish-speech\tools/webui/inference.py: invalid syntax (<unknown>, line 49)
Skipped ./github_code\2024\gpudrive\gpudrive/env/scene_selector.py: invalid syntax (<unknown>, line 35)
Skipped ./github_code\2024\gpudrive\setup.py: invalid syntax (<unknown>, line 10)
Skipped ./github_code\2024\Medical_Image_Analysis\AM_MRG/models/AM_MRG.py: unindent does not match any outer indentation level (<unknown>, line 52)
Skipped ./github_code\2024\ncflow\examples/lotka-volterra/runs/Uncertainty/main_T2.py: invalid syntax (<unknown>, line 3)
Skipped ./github_code\2024\query-refinement\eval/pairwise_winrate.py: invalid syntax (<unknown>, line 176)
Skipped ./github_code\2024\RGBDS-SLAM\RGBDS-SLAM/ORB-SLAM3/evaluation/evaluate_ate_scale.py: invalid syntax (<unknown>, line 177)
Skipped ./github_code\2024\RGBDS-SLAM\RGBDS-SLAM/evaluation/evaluate_ate.py: invalid syntax (<unknown>, line 153)
Skipped ./github_code\2024\RGBDS-SLAM\RGBDS-SLAM/evaluation/evaluate_rpe.py: invalid syntax (<unknown>, line 351)
Skipped ./github_code\2024\tarsier\tasks/demo_gradio.py: invalid syntax (<unknown>, line 47)
Skipped ./github_code\2024\VideoICL\InternVideo/InternVideo1/Downstream/Open-Set-Action-Recognition/experiments/libMR/estimate_wscores.py: invalid syntax (<unknown>, line 16)
Skipped ./github_code\2025\JPEB-GSSL\GMM/model/base.py: EOL while scanning string literal (<unknown>, line 71)
Skipped ./github_code\2025\LesionDiffusion\pipeline/ldm/models/diffusion/ddpm.py: invalid syntax (<unknown>, line 1692)
Skipped ./github_code\2025\LoRA-One\prec_run_exp.py: invalid syntax (<unknown>, line 74)
Skipped ./github_code\2025\LoRA-One\run_exp.py: invalid syntax (<unknown>, line 74)
Skipped ./github_code\2025\MonoDINO-DETR\lib/datasets/kitti/kitti_eval_python/evaluate.py: invalid syntax (<unknown>, line 4)
Skipped ./github_code\2025\Polytune\baseline/MT3_baseline/contrib_old/tokenize.py: invalid syntax (<unknown>, line 128)
Skipped ./github_code\2025\position_we_need_more_tests_in_ml\src/paper_crawler/process_pages.py: EOL while scanning string literal (<unknown>, line 151)
Skipped ./github_code\2025\SegImgNet\networks/model.py: invalid character '，' (U+FF0C) (<unknown>, line 5)
Skipped ./github_code\2025\Speculative-Ensemble\vllm/.buildkite/nightly-benchmarks/scripts/convert-results-json-to-markdown.py: f-string expression part cannot include a backslash (<unknown>, line 170)
Skipped ./github_code\2025\stellar-actions-I\action_calculation/action_FINAL.py: invalid syntax (<unknown>, line 26)
Skipped ./github_code\2025\stellar-actions-I\results/plot4.py: invalid syntax (<unknown>, line 7)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Advertising/glasshat/api.py: invalid syntax (<unknown>, line 101)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Business/feedbackapi/api.py: EOL while scanning string literal (<unknown>, line 30)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Business/paperlit/api.py: f-string: single '}' is not allowed (<unknown>, line 499)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Business_Software/boldsign/api.py: EOL while scanning string literal (<unknown>, line 35)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Business_Software/connectreport_core/api.py: EOL while scanning string literal (<unknown>, line 227)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Business_Software/ff3/api.py: EOL while scanning string literal (<unknown>, line 67)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Business_Software/svix/api.py: EOL while scanning string literal (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Commerce/logintest/api.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Communication/wassenger/api.py: EOL while scanning string literal (<unknown>, line 140)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Data/census_bureau/api.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Data/coingecko/api.py: invalid syntax (<unknown>, line 91)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Data/coinpaprika/api.py: invalid syntax (<unknown>, line 161)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Data/indonesia_import_export/api.py: invalid syntax (<unknown>, line 30)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Data/indonesia_importexport/api.py: invalid syntax (<unknown>, line 30)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Devices/bas_ip_multiapartment_panels/api.py: EOL while scanning string literal (<unknown>, line 459)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Education/nitians/api.py: invalid syntax (<unknown>, line 15)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Education/rec_sys/api.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Email/ishan/api.py: invalid syntax (<unknown>, line 1548)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Email/ishan1/api.py: invalid syntax (<unknown>, line 834)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Email/sendgrid/api.py: f-string: single '}' is not allowed (<unknown>, line 15)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Entertainment/ribbet/api.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Finance/monite/api.py: EOL while scanning string literal (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Finance/stock_api/api.py: f-string: invalid syntax (<unknown>, line 77)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Logistics/postal_ninja/api.py: invalid syntax (<unknown>, line 86)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Mapping/maptiler_cloud_api/api.py: f-string: invalid syntax (<unknown>, line 66)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Monitoring/scalair_nc/api.py: invalid syntax (<unknown>, line 114)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/News_Media/news_v8/api.py: EOL while scanning string literal (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Other/frimann/api.py: invalid syntax (<unknown>, line 223)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Social/hatebase/api.py: invalid decimal literal (<unknown>, line 1)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Sports/fantasy_premier_league/api.py: invalid syntax (<unknown>, line 113)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Sports/sportsbook_api/api.py: EOL while scanning string literal (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Sports/the_racing_api/api.py: EOL while scanning string literal (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Tools/secure_password/api.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Tools/word_count_api/api.py: EOL while scanning string literal (<unknown>, line 9)
Skipped ./github_code\2025\ToolDial\graph_evaluation/server/tools/Travel/makcorps_hotel_price_comparison/api.py: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<unknown>, line 1)
Skipped ./github_code\2025\U-NIAH\needlehaystack/rag_multi_needle_haystack_tester.py: f-string: expecting '}' (<unknown>, line 243)
Skipped ./github_code\2025\U-NIAH\needlehaystack/run.py: invalid syntax (<unknown>, line 68)
