Skipped ./github_code/2021\2019-UGRP-DPoom\easygo\dap.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 73)
Skipped ./github_code/2021\aphros\examples\213_electrochem\epstein\vis\slice.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\aphros\src\test\randc\sim\ch\getr.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\aqt\aqt\jax\v2\aqt_dot_general.py: invalid syntax (<unknown>, line 489)
Skipped ./github_code/2021\aqt\aqt\jax\v2\aqt_dot_general_test.py: invalid syntax (<unknown>, line 123)
Skipped ./github_code/2021\aqt\aqt\jax\v2\tiled_dot_general.py: invalid syntax (<unknown>, line 288)
Skipped ./github_code/2021\aqt\aqt\jax\v2\extensions\gptq\gptq_dot_general_quantizer.py: invalid syntax (<unknown>, line 281)
Skipped ./github_code/2021\aqt\aqt\jax\v2\flax\aqt_flax.py: invalid syntax (<unknown>, line 425)
Skipped ./github_code/2021\aqt\aqt\jax\v2\flax\freezer.py: invalid syntax (<unknown>, line 58)
Skipped ./github_code/2021\aqt\aqt\jax\v2\numerics\fp8_numerics.py: invalid syntax (<unknown>, line 80)
Skipped ./github_code/2021\aqt\aqt\jax\v2\numerics\fp_numerics_test.py: invalid syntax (<unknown>, line 134)
Skipped ./github_code/2021\ASER\examples\dialogue\dialogue\io\DialogueDataset.py: invalid syntax (<unknown>, line 85)
Skipped ./github_code/2021\Barcode\calc_metrics.py: expected an indented block (<unknown>, line 97)
Skipped ./github_code/2021\Barcode\create_samples.py: invalid syntax (<unknown>, line 235)
Skipped ./github_code/2021\Barcode\dnnlib\util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\dnnlib\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\dnnlib\tflib\autosummary.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\dnnlib\tflib\network.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\dnnlib\tflib\optimizer.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\dnnlib\tflib\tfutil.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\dnnlib\tflib\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\dnnlib\tflib\ops\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\metrics\barcode.py: invalid non-printable character U+200B (<unknown>, line 5)
Skipped ./github_code/2021\Barcode\training\augment.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\training\loss.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\training\networks.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Barcode\training\training_loop.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\BAS\ILSVRC\utils\img_add_padding.py: expected an indented block (<unknown>, line 20)
Skipped ./github_code/2021\bayes-4tops\run_plotter_all_thinned_walkers.py: invalid syntax (<unknown>, line 65)
Skipped ./github_code/2021\bayes-4tops\run_plotter_all_walkers.py: invalid syntax (<unknown>, line 65)
Skipped ./github_code/2021\bayes-4tops\run_plotter_make_corner_for_letter.py: invalid syntax (<unknown>, line 67)
Skipped ./github_code/2021\BoundaryAwareGEM\s3dis\eval_iou_accuracy.py: Missing parentheses in call to 'print'. Did you mean print('IoU:')? (<unknown>, line 32)
Skipped ./github_code/2021\BtcDet\btcdet\datasets\kitti\kitti_object_eval_python\evaluate.py: invalid syntax (<unknown>, line 5)
Skipped ./github_code/2021\CAN\models\eval_for_leaderboard.py: invalid syntax (<unknown>, line 81)
Skipped ./github_code/2021\CloudAAE\evaluate_cloudAAE_ycbv.py: invalid syntax (<unknown>, line 235)
Skipped ./github_code/2021\CloudAAE\train_cloudAAE_ycbv.py: Missing parentheses in call to 'print'. Did you mean print("==================train======================")? (<unknown>, line 335)
Skipped ./github_code/2021\CloudAAE\linemod_data\linemod_to_tfrecord_small.py: Missing parentheses in call to 'print'. Did you mean print("counter: ", counter)? (<unknown>, line 233)
Skipped ./github_code/2021\CloudAAE\tf_ops\nn_distance\tf_nndistance.py: invalid syntax (<unknown>, line 65)
Skipped ./github_code/2021\CloudAAE\trained_network\20200908-204328\pointnet_ycb_23_decoder_4.py: Missing parentheses in call to 'print'. Did you mean print("###########point_cloud", point_cloud)? (<unknown>, line 146)
Skipped ./github_code/2021\CloudAAE\trained_network\20200908-204328\train_6d_cls_ycb_small_5_FPS_decoder_6d_compact.py: Missing parentheses in call to 'print'. Did you mean print("Model restored.")? (<unknown>, line 408)
Skipped ./github_code/2021\CMS-LSTM\models\basic_blocks.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\CMS-LSTM\trainers\frame_prediction_trainer.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\code-nerf\src\optimizer.py: EOL while scanning string literal (<unknown>, line 52)
Skipped ./github_code/2021\crabs\run\main.py: invalid syntax (<unknown>, line 438)
Skipped ./github_code/2021\crossnorm-selfnorm\segmentation\model\cnsn.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\DAMOV\simulator\misc\ffControl.py: Missing parentheses in call to 'print'. Did you mean print("stdin done, exiting")? (<unknown>, line 41)
Skipped ./github_code/2021\DAMOV\simulator\misc\gitver.py: invalid syntax (<unknown>, line 14)
Skipped ./github_code/2021\DAMOV\simulator\misc\lint_includes.py: Missing parentheses in call to 'print'. Did you mean print(bName)? (<unknown>, line 56)
Skipped ./github_code/2021\DAMOV\simulator\misc\list_syscalls.py: invalid syntax (<unknown>, line 9)
Skipped ./github_code/2021\DAMOV\simulator\misc\patchRoot\genPatchRoot.py: invalid syntax (<unknown>, line 67)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\CacheClient\code_cache_gui.py: Missing parentheses in call to 'print'. Did you mean print("looking for 0x%x" % address)? (<unknown>, line 113)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Debugger\launch-pin-attach-debugger.py: Missing parentheses in call to 'print'. Did you mean print("This script must be run with the Windows native Python")? (<unknown>, line 28)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\ImageTests\region_compare.py: Missing parentheses in call to 'print'. Did you mean print("An image visible to the app was not found by pin image load callbacks...")? (<unknown>, line 24)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\InstLib\cntrl_client.py: Missing parentheses in call to 'print'. Did you mean print('Error Usage: python cntrl_client.py <file_name>')? (<unknown>, line 19)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Mix\summarize.py: invalid syntax (<unknown>, line 54)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\SimpleExamples\callgraph.py: Missing parentheses in call to 'print'. Did you mean print("Usage: callgraph.py [OPTION]* symbol-file edge-profile")? (<unknown>, line 30)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\SimpleExamples\flowgraph.py: Missing parentheses in call to 'print'. Did you mean print("Usage: flowgraph.py [OPTION]+ assembler-listing edge-profile")? (<unknown>, line 30)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Utils\and-launch.py: invalid syntax (<unknown>, line 59)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Utils\andshell.py: Missing parentheses in call to 'print'. Did you mean print(stdo)? (<unknown>, line 81)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Utils\compare.py: Missing parentheses in call to 'print'. Did you mean print(">> " + compLines[0])? (<unknown>, line 72)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Utils\installer.py: Missing parentheses in call to 'print'. Did you mean print("Error: unexpected device type, installer cannot continue. Device type is '%s'." % device_type)? (<unknown>, line 87)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Utils\micshell.py: Missing parentheses in call to 'print'. Did you mean print(out)? (<unknown>, line 22)
Skipped ./github_code/2021\DAMOV\simulator\pin\source\tools\Utils\testReleaseVersionPython.py: invalid syntax (<unknown>, line 6)
Skipped ./github_code/2021\DAMOV\simulator\scripts\generate_config_files.py: Missing parentheses in call to 'print'. Did you mean print("Usage python generate_config_files.py command_file")? (<unknown>, line 90)
Skipped ./github_code/2021\DAMOV\simulator\scripts\genMeshNetwork.py: Missing parentheses in call to 'print'. Did you mean print("Connecting "+l1i+" to "+l2)? (<unknown>, line 72)
Skipped ./github_code/2021\DAMOV\simulator\scripts\genMeshNetworkOriginal.py: Missing parentheses in call to 'print'. Did you mean print("Connecting "+l1i+" to "+l2)? (<unknown>, line 69)
Skipped ./github_code/2021\DAMOV\simulator\scripts\get_stats_per_app.py: Missing parentheses in call to 'print'. Did you mean print("Couldn't read some stat. Check label: " + label)? (<unknown>, line 113)
Skipped ./github_code/2021\DARDet\mmdet\models\dense_heads\centernet_head_change.py: unindent does not match any outer indentation level (<unknown>, line 116)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\CIFAR10\CIFAR10_bc.py: invalid syntax (<unknown>, line 74)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\CIFAR10\CIFAR10_nc.py: invalid syntax (<unknown>, line 61)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\CIFAR10\CIFAR10_ssc.py: Missing parentheses in call to 'print'. Did you mean print("total countable neuron pairs: ", self.tot)? (<unknown>, line 73)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\CIFAR10\lp_bc.py: Missing parentheses in call to 'print'. Did you mean print('Un-expected layer!!!')? (<unknown>, line 106)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\CIFAR10\lp_nc.py: Missing parentheses in call to 'print'. Did you mean print('Un-expected layer!!!')? (<unknown>, line 106)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\CIFAR10\lp_ssc.py: Missing parentheses in call to 'print'. Did you mean print('Un-expected layer!!!')? (<unknown>, line 104)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\CIFAR10\utils.py: Missing parentheses in call to 'print'. Did you mean print('imgs[i].shape is ', imgs[i].shape)? (<unknown>, line 54)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\MNIST\lp_bc.py: Missing parentheses in call to 'print'. Did you mean print('Un-expected layer!!!')? (<unknown>, line 106)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\MNIST\lp_nc.py: Missing parentheses in call to 'print'. Did you mean print('Un-expected layer!!!')? (<unknown>, line 106)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\MNIST\lp_ssc.py: Missing parentheses in call to 'print'. Did you mean print('Un-expected layer!!!')? (<unknown>, line 104)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\MNIST\MNIST_bc.py: invalid syntax (<unknown>, line 74)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\MNIST\MNIST_nc.py: invalid syntax (<unknown>, line 61)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\MNIST\MNIST_ssc.py: Missing parentheses in call to 'print'. Did you mean print("total countable neuron pairs: ", self.tot)? (<unknown>, line 73)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L-infinity norm\MNIST\utils.py: Missing parentheses in call to 'print'. Did you mean print('imgs[i].shape is ', imgs[i].shape)? (<unknown>, line 52)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L0 norm\CIFAR10\CIFAR10_bc.py: invalid syntax (<unknown>, line 76)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L0 norm\CIFAR10\CIFAR10_nc.py: invalid syntax (<unknown>, line 62)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L0 norm\CIFAR10\utils.py: Missing parentheses in call to 'print'. Did you mean print('imgs[i].shape is ', imgs[i].shape)? (<unknown>, line 54)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L0 norm\MNIST\MNIST_bc.py: invalid syntax (<unknown>, line 76)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L0 norm\MNIST\MNIST_nc.py: invalid syntax (<unknown>, line 63)
Skipped ./github_code/2021\DeepConcolic\ASE-experiments\L0 norm\MNIST\utils.py: Missing parentheses in call to 'print'. Did you mean print('imgs[i].shape is ', imgs[i].shape)? (<unknown>, line 52)
Skipped ./github_code/2021\DeepConcolic\deepconcolic\ap_lp.py: Missing parentheses in call to 'print'. Did you mean print('To encode the DNN instance...')? (<unknown>, line 27)
Skipped ./github_code/2021\DeepConcolic\deepconcolic\ap_main.py: invalid syntax (<unknown>, line 28)
Skipped ./github_code/2021\DeepConcolic\deepconcolic\dbnc_stats.py: invalid syntax (<unknown>, line 273)
Skipped ./github_code/2021\DF-VO\tools\undistort_robotcar.py: invalid syntax (<unknown>, line 29)
Skipped ./github_code/2021\DGCN-for-image-captioning\DGCN generated\transformer\utils.py: expected an indented block (<unknown>, line 15)
Skipped ./github_code/2021\DGCN-for-image-captioning\DGCN-Eva Part\__init__.py: Missing parentheses in call to 'print'. Did you mean print('tokenization...')? (<unknown>, line 31)
Skipped ./github_code/2021\DGCN-for-image-captioning\DGCN-Eva Part\bleu\bleu.py: invalid syntax (<unknown>, line 31)
Skipped ./github_code/2021\DicePlusPlus\src\modified_files\standard.py: invalid syntax (<unknown>, line 116)
Skipped ./github_code/2021\DMVCR\models\eval_for_leaderboard.py: invalid syntax (<unknown>, line 81)
Skipped ./github_code/2021\DroneCrowd\STANet\dataset\make_data_den.py: Missing parentheses in call to 'print'. Did you mean print('generate density...')? (<unknown>, line 29)
Skipped ./github_code/2021\DroneCrowd\STANet\dataset\make_data_max.py: Missing parentheses in call to 'print'. Did you mean print('generate density...')? (<unknown>, line 44)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_example_script\{{cookiecutter.directory_name}}\run_{{cookiecutter.example_shortcut}}.py: invalid syntax (<unknown>, line 21)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\configuration_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 23)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\test_modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\test_modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\test_modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 18)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\tokenization_fast_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\to_replace_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 30)
Skipped ./github_code/2021\DSEE\non-GPT-2\templates\adding_a_new_model\cookiecutter-template-{{cookiecutter.modelname}}\__init__.py: invalid syntax (<unknown>, line 22)
Skipped ./github_code/2021\dsnet\model\cache\dirichlet_old.py: invalid syntax (<unknown>, line 33)
Skipped ./github_code/2021\DVDialogues\dvd_generation\question_templates\add_action_attribute.py: EOL while scanning string literal (<unknown>, line 1)
Skipped ./github_code/2021\EEV-Challenge-2021\tools\vis_vid.py: positional argument follows keyword argument (<unknown>, line 5)
Skipped ./github_code/2021\esh_dynamics\generate_figures\plot_res.py: invalid syntax (<unknown>, line 19)
Skipped ./github_code/2021\espnet\egs\arctic\vc1\local\clean_text.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\csj\align1\local\csj_rm_tag.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\iwslt19\st1\local\join_suffix.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\iwslt21\asr1\local\filter_offlimit.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\iwslt21\asr1\local\join_suffix.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\iwslt21\asr1\local\json2trn_reorder.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\iwslt21\asr1\local\parse_xml.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\iwslt21_low_resource\asr1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\reverb\asr1_multich\local\run_wpe.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\vcc20\tts1_en_de\local\clean_text_mailabs.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\vcc20\tts1_en_fi\local\clean_text_mailabs.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs\vcc20\vc1_task2\local\clean_text_asr_result.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\aishell4\enh1\local\prepare_data_list.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\an4\asr1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\catslu\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime4\asr2\local\sym_channel.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime4\enh_asr1\local\sym_channel.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime6\asr1\local\extract_noises.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime6\asr1\local\json2text.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime6\asr1\local\make_noise_list.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\asr1\local\extract_noises.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\asr1\local\make_noise_list.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\asr2json.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\check_data_gen.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\da_wer_scoring.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\extract_noises.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\gen_task1_data.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\get_lhotse_manifests.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\gss2lhotse.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\gss_micrank.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime7_task1\diar_asr1\local\make_noise_list.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime8_task1\asr1\local\make_noise_list.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime8_task1\diar_asr1\local\asr2json.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime8_task1\diar_asr1\local\da_wer_scoring.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime8_task1\diar_asr1\local\extract_noises.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime8_task1\diar_asr1\local\gss2lhotse.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime8_task1\diar_asr1\local\gss_micrank.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\chime8_task1\diar_asr1\local\make_noise_list.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\covost2\asr1\local\process_tsv.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\covost2\mt1\local\process_tsv.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\covost2\st1\local\process_tsv.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\csj\asr1\local\csj_rm_tag.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\cvss\st1\local\cvss_data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\dcase22_task1\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fisher_callhome_spanish\asr1\local\callhome_make_spk2gender.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fisher_callhome_spanish\asr1\local\concat_short_utt.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fisher_callhome_spanish\asr1\local\fsp_make_spk2gender.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fisher_callhome_spanish\st1\local\callhome_make_spk2gender.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fisher_callhome_spanish\st1\local\concat_short_utt.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fisher_callhome_spanish\st1\local\fsp_make_spk2gender.py: invalid syntax (<unknown>, line 1)
