variable,ac_frequency,ans_frequency,ref_frequency,increase_ratio
best_instant_idx,0,0,1,inf
best_j,0,2,1,inf
best_k,0,5,2,inf
best_l,0,0,1,inf
best_penalties,0,0,1,inf
best_row,0,0,1,inf
best_s,0,0,1,inf
best_side,0,0,1,inf
best_similarity,0,0,1,inf
best_start,0,1,2,inf
best_team,0,0,1,inf
best_w,0,1,1,inf
best_wrong,0,0,1,inf
bi_idx,0,0,1,inf
binary,0,0,1,inf
bj,0,2,2,inf
black_king,0,0,1,inf
black_steps,0,0,1,inf
block_id,0,0,1,inf
block_size,0,0,1,inf
blocks,0,5,1,inf
board,0,4,2,inf
bob_counts,0,0,1,inf
body_parts,0,0,1,inf
book_indices,0,0,1,inf
border,0,0,1,inf
box_id,0,1,1,inf
bpm,0,0,1,inf
breakpoints,0,0,1,inf
bulbs,0,1,1,inf
bus_dist,0,1,1,inf
bus_temp,0,0,1,inf
buses_needed,0,0,1,inf
buy_price,0,0,1,inf
c_line,0,0,1,inf
c_mid,0,0,1,inf
c_perp,0,0,1,inf
c_placed,0,0,1,inf
c_used,0,1,1,inf
c_val,0,0,2,inf
calculate_guess,0,0,1,inf
calculate_rotations,0,0,1,inf
calculate_score,0,0,1,inf
calculate_time,0,1,1,inf
calculated_angle,0,0,1,inf
call_name,0,1,1,inf
calls_in_row,0,0,1,inf
camels,0,1,1,inf
can_achieve_k,0,0,1,inf
can_be_first,0,0,1,inf
can_be_last,0,0,1,inf
can_process,0,0,1,inf
candidate1,0,1,1,inf
candidate_str,0,0,1,inf
candies,0,0,1,inf
capitals,0,0,1,inf
car,0,1,1,inf
card,0,1,1,inf
card_indices,0,0,1,inf
cars_b,0,0,1,inf
cars_g,0,0,1,inf
cars_r,0,0,1,inf
cases,0,1,1,inf
catamarans,0,0,1,inf
catch_info,0,0,1,inf
category,0,1,2,inf
cb,0,0,1,inf
ceil_m,0,0,1,inf
ceil_n,0,0,1,inf
cell,0,5,2,inf
cents,0,1,1,inf
chain_length,0,0,1,inf
changes_pattern1,0,0,1,inf
changes_pattern2,0,0,1,inf
char_code,0,0,1,inf
char_map,0,1,1,inf
char_positions,0,0,1,inf
char_to_value,0,0,1,inf
check_adjacent,0,0,1,inf
check_almost,0,0,1,inf
check_subtree,0,0,1,inf
check_win,0,0,1,inf
check_winner,0,0,1,inf
chess_l,0,0,1,inf
chess_r,0,0,1,inf
chessboard,0,0,1,inf
child_segments,0,1,1,inf
children,0,8,3,inf
chunk,0,1,1,inf
classify_word,0,0,1,inf
clients,0,1,1,inf
close_next,0,0,1,inf
closest,0,0,1,inf
club,0,0,1,inf
clubs,0,3,2,inf
cluster,0,0,1,inf
cluster_end,0,0,1,inf
clusters,0,0,1,inf
cmd,0,2,4,inf
cnt3,0,0,1,inf
cnt4,0,0,1,inf
cnt_1,0,0,1,inf
cnt_a,0,0,1,inf
cnt_b,0,0,1,inf
cnt_c,0,0,1,inf
cnt_removed,0,0,1,inf
codes,0,2,1,inf
coin,0,1,2,inf
col1,0,0,1,inf
col2,0,0,1,inf
col_bottom,0,0,1,inf
col_cost,0,0,1,inf
col_count,0,0,1,inf
col_counts,0,2,2,inf
col_map,0,0,1,inf
col_mins,0,0,1,inf
col_ops,0,1,1,inf
col_part,0,0,1,inf
col_shift,0,0,1,inf
col_shifts,0,0,1,inf
col_sums,0,1,1,inf
col_top,0,0,1,inf
collider,0,0,1,inf
collision,0,1,2,inf
collisions,0,0,1,inf
colon_index,0,0,1,inf
color_neighbors,0,0,1,inf
color_tree,0,0,1,inf
comb,0,2,5,inf
combined,0,4,3,inf
combined_x,0,0,1,inf
combined_y,0,0,1,inf
combo,0,0,1,inf
common_divisor,0,0,1,inf
common_len,0,0,1,inf
compare_and_truncate,0,0,1,inf
comparisons,0,1,1,inf
component_edges,0,0,1,inf
component_nodes,0,0,1,inf
component_size,0,0,1,inf
compressed,0,0,1,inf
compute_angle,0,0,1,inf
compute_distances,0,0,1,inf
compute_gain,0,0,1,inf
compute_lcm,0,2,1,inf
compute_min_cost,0,0,1,inf
compute_projection,0,0,1,inf
compute_scores,0,1,1,inf
compute_vars,0,0,1,inf
computer,0,1,1,inf
cond1,0,1,1,inf
cond2,0,1,1,inf
cond3,0,0,1,inf
conflict,0,4,1,inf
conflicts,0,0,1,inf
connected,0,0,2,inf
connections,0,0,1,inf
constructed,0,0,1,inf
contest_possible,0,0,1,inf
contribution,0,0,1,inf
contribution_left,0,0,1,inf
contribution_right,0,0,1,inf
corner,0,0,1,inf
correct,0,3,1,inf
correct_len,0,1,1,inf
correct_password,0,0,1,inf
cost1,0,0,1,inf
cost2,0,0,1,inf
cost_k,0,0,1,inf
cost_multiple,0,0,1,inf
cost_single,0,0,1,inf
cost_v,0,0,1,inf
cost_x,0,0,1,inf
countG,0,0,1,inf
count_4,0,1,1,inf
count_7,0,0,1,inf
count_changes,0,0,1,inf
count_factors,0,0,1,inf
count_first,0,2,2,inf
count_i,0,0,1,inf
count_inside,0,1,1,inf
count_lucky_digits,0,0,1,inf
count_max,0,1,1,inf
count_min,0,0,1,inf
count_operations,0,1,1,inf
count_pairs,0,0,2,inf
count_parity_0,0,0,1,inf
count_parity_1,0,0,1,inf
count_second,0,1,1,inf
count_syllables,0,0,1,inf
count_third,0,1,1,inf
count_trailing_zeros,0,0,1,inf
count_valid,0,0,1,inf
count_x,0,1,1,inf
count_x5,0,0,1,inf
count_zero_substrings,0,0,1,inf
counterpart,0,0,1,inf
course,0,1,1,inf
create_tiling,0,0,1,inf
crossword,0,0,1,inf
crush,0,2,2,inf
cry_volume,0,0,1,inf
cube,0,2,1,inf
curr_act,0,2,1,inf
curr_cost,0,0,1,inf
curr_profit,0,0,1,inf
current_a,0,7,3,inf
current_b,0,2,2,inf
current_base,0,0,1,inf
current_beauty,0,1,2,inf
current_best_inv,0,0,1,inf
current_change,0,0,1,inf
current_char,0,8,5,inf
current_color,0,1,2,inf
current_computer,0,0,1,inf
current_cost,0,4,2,inf
current_count,0,3,3,inf
current_day,0,0,1,inf
current_depth,0,2,1,inf
current_digit,0,0,1,inf
current_dir,0,1,1,inf
current_dist,0,3,2,inf
current_ed,0,0,1,inf
current_end,0,3,3,inf
current_even,0,0,1,inf
current_exp,0,0,1,inf
current_fav,0,0,1,inf
current_food,0,0,1,inf
current_free,0,0,1,inf
current_gap,0,0,1,inf
current_gcd,0,1,3,inf
current_h,0,3,2,inf
current_height,0,2,1,inf
current_id,0,1,1,inf
current_in,0,0,1,inf
current_index,0,1,1,inf
current_is_amp,0,0,1,inf
current_l,0,0,1,inf
current_layer,0,1,1,inf
current_lcm,0,4,1,inf
current_left,0,2,1,inf
current_len,0,12,8,inf
current_length,0,9,6,inf
current_liking,0,0,1,inf
current_limit,0,0,1,inf
current_loc,0,0,1,inf
current_lucky,0,0,1,inf
current_max,0,19,8,inf
current_max_d0,0,0,1,inf
current_min,0,10,3,inf
current_mod,0,6,1,inf
current_name,0,0,1,inf
current_neighbors,0,0,1,inf
current_node,0,3,1,inf
current_odd,0,0,1,inf
current_or_set,0,0,1,inf
current_out,0,0,1,inf
current_overlap,0,0,1,inf
current_p,0,1,1,inf
current_positions,0,0,1,inf
current_power,0,1,1,inf
current_r,0,3,1,inf
current_rank,0,0,1,inf
current_right,0,2,1,inf
current_row,0,1,1,inf
current_s,0,2,1,inf
current_score,0,0,1,inf
current_set,0,1,1,inf
current_speed,0,1,1,inf
current_st,0,0,1,inf
current_start,0,2,4,inf
current_statue,0,0,1,inf
current_statues,0,0,1,inf
current_streak,0,0,3,inf
current_subfolders,0,0,1,inf
current_sum,0,21,16,inf
current_t,0,4,1,inf
current_t_denominator,0,0,1,inf
current_t_numerator,0,0,1,inf
current_time,0,4,7,inf
current_w,0,1,1,inf
current_width,0,0,1,inf
current_word,0,1,1,inf
current_x,0,8,1,inf
current_y,0,4,2,inf
cycle_len,0,0,1,inf
cycle_length,0,3,4,inf
cycle_lengths,0,2,1,inf
cycle_start,0,0,1,inf
cycles,0,4,2,inf
cz,0,1,1,inf
d0_sorted,0,0,1,inf
d1_sorted,0,0,1,inf
d1x,0,0,1,inf
d1y,0,0,1,inf
d2x,0,0,1,inf
d2y,0,0,1,inf
d3x,0,0,1,inf
d3y,0,0,1,inf
d_bin,0,0,2,inf
d_bus,0,1,1,inf
d_count,0,2,1,inf
d_list,0,1,1,inf
d_person,0,0,1,inf
d_start,0,0,1,inf
d_total,0,0,1,inf
d_train,0,1,1,inf
d_value,0,0,1,inf
dangerous,0,0,1,inf
dasha_time,0,1,1,inf
days_of_week,0,0,1,inf
days_single,0,0,1,inf
decoded,0,0,1,inf
deferred,0,0,1,inf
deficit,0,3,1,inf
degree_counts,0,0,1,inf
dems,0,0,1,inf
denied,0,1,1,inf
denominator,0,17,10,inf
dep,0,3,2,inf
dep_h,0,0,1,inf
dep_m,0,0,1,inf
depart,0,0,1,inf
departure,0,0,1,inf
departure_time,0,1,1,inf
dependencies,0,2,1,inf
deps,0,3,2,inf
desired,0,1,2,inf
desk,0,1,1,inf
destination,0,0,1,inf
determine_rhyme_scheme,0,0,1,inf
deviation,0,0,1,inf
di,0,13,3,inf
diag1,0,1,1,inf
diag2,0,1,1,inf
diagonals1,0,0,1,inf
diagonals2,0,0,1,inf
dimensions,0,0,1,inf
dir_idx,0,0,1,inf
directions,0,10,7,inf
diri,0,1,1,inf
dirs,0,1,1,inf
discriminant,0,0,1,inf
disk,0,1,1,inf
displayed,0,0,1,inf
dist_at_full_speed,0,0,1,inf
dist_sq,0,2,1,inf
distance1,0,0,1,inf
distance2,0,0,1,inf
distance_AiBi,0,0,1,inf
distance_OAi,0,0,1,inf
distance_point_line,0,0,1,inf
distance_squared,0,1,1,inf
distressed,0,1,1,inf
dists,0,1,1,inf
dj,0,3,3,inf
do_query,0,0,1,inf
dollar_part,0,0,1,inf
dollars,0,1,1,inf
double_colon_pos,0,0,1,inf
dragons,0,1,1,inf
drain_rate,0,0,1,inf
drives,0,1,1,inf
dt,0,0,1,inf
duplicate_pairs,0,0,1,inf
duration,0,0,1,inf
dx_candidate,0,0,1,inf
dx_curr,0,0,1,inf
dx_prev,0,1,1,inf
dy_candidate,0,0,1,inf
dy_curr,0,0,1,inf
dy_prev,0,1,1,inf
earliest,0,2,4,inf
eat_positions,0,0,1,inf
edge,0,3,3,inf
edge_count,0,1,1,inf
effective,0,0,2,inf
effective_col_shift,0,0,1,inf
effective_glass_cost,0,0,1,inf
effective_k,0,1,1,inf
effective_row_shift,0,0,1,inf
elements,0,4,1,inf
elim_indices,0,0,1,inf
elsie,0,1,1,inf
elsie_reachable,0,1,1,inf
email,0,2,1,inf
emails,0,2,1,inf
emirps,0,0,1,inf
employee,0,1,1,inf
employees,0,0,1,inf
empty,0,0,2,inf
end1,0,0,1,inf
end2,0,0,1,inf
end_date,0,0,1,inf
end_pos,0,2,1,inf
end_suffix,0,0,1,inf
endings,0,2,2,inf
enemies,0,0,1,inf
enemy,0,1,1,inf
enemy_unique,0,0,1,inf
epsilon,0,2,1,inf
equation,0,0,1,inf
escaped,0,0,1,inf
euler_totient,0,0,1,inf
evacuation_order,0,0,1,inf
even_num,0,0,1,inf
even_sum,0,0,1,inf
evens,0,1,1,inf
event_list,0,0,1,inf
evict_candidate,0,0,1,inf
exam_day,0,0,1,inf
exc_type,0,1,1,inf
excel_to_rc,0,0,1,inf
exception_type,0,0,1,inf
excluded,0,0,1,inf
exercises,0,0,1,inf
existing,0,0,1,inf
exp1,0,0,1,inf
exp2,0,0,1,inf
exp3,0,0,1,inf
expected,0,6,2,inf
expected_01,0,0,1,inf
expected_10,0,0,1,inf
expected_color,0,0,1,inf
expected_first,0,0,1,inf
expected_points,0,0,2,inf
expected_values,0,0,1,inf
exponent,0,5,5,inf
exponents,0,2,1,inf
expr_values,0,0,1,inf
expressions,0,1,1,inf
ext,0,0,1,inf
ext_len,0,1,1,inf
extended,0,0,2,inf
extended_gcd,0,2,1,inf
f_events,0,0,1,inf
f_out,0,0,1,inf
f_prefix,0,0,1,inf
face_counts,0,0,1,inf
fact,0,3,3,inf
far,0,0,1,inf
farthest,0,1,1,inf
farthest_node,0,0,1,inf
favorable,0,2,1,inf
favorable_area,0,0,1,inf
fc,0,0,1,inf
females,0,1,1,inf
filename,0,0,1,inf
filenames,0,1,1,inf
fill_1x2,0,0,1,inf
fill_2x1,0,0,1,inf
fill_2x2,0,0,1,inf
fill_lower,0,0,1,inf
fill_upper,0,0,1,inf
final_ccw,0,0,1,inf
final_changes,0,0,1,inf
final_cw,0,0,1,inf
final_existing,0,0,1,inf
final_line,0,0,1,inf
final_pairs,0,0,1,inf
find_all_solutions,0,0,1,inf
find_dth_emirp,0,0,1,inf
find_first,0,0,1,inf
find_first_ge,0,0,1,inf
find_max_split,0,0,1,inf
find_max_steps,0,0,1,inf
find_min_n,0,1,1,inf
find_min_x,0,0,1,inf
find_next_index,0,0,1,inf
find_second,0,0,1,inf
find_smallest_super_lucky,0,0,1,inf
find_x,0,0,1,inf
first_current,0,0,1,inf
first_day,0,0,1,inf
first_days,0,0,1,inf
first_element,0,0,1,inf
first_index,0,0,1,inf
first_left,0,0,1,inf
first_line,0,0,1,inf
first_max,0,0,1,inf
first_non_zero,0,0,1,inf
first_occurrence,0,0,2,inf
first_opt_counts,0,0,1,inf
first_part,0,3,1,inf
first_set,0,0,1,inf
first_subject,0,0,1,inf
first_team,0,0,1,inf
first_term,0,0,1,inf
first_three,0,0,1,inf
flamingos,0,1,1,inf
flips,0,1,1,inf
floors,0,1,1,inf
flowers,0,1,1,inf
food_required,0,0,1,inf
forbidden,0,3,3,inf
format_time,0,0,1,inf
format_total,0,0,1,inf
formatted,0,1,1,inf
formatted_integer,0,1,1,inf
forward_possible,0,1,1,inf
found_segment,0,0,1,inf
found_triangle,0,0,1,inf
fractal,0,0,1,inf
fractional,0,0,2,inf
fractional_part,0,3,3,inf
fragments,0,0,1,inf
frames,0,1,1,inf
free,0,1,1,inf
free_count,0,0,1,inf
free_rooms,0,2,1,inf
free_segments,0,0,1,inf
freq,0,27,9,inf
freq_list,0,0,1,inf
front_count,0,0,1,inf
frozenset,0,1,1,inf
ft,0,2,2,inf
ft_y,0,0,1,inf
full_address,0,0,1,inf
full_columns,0,0,1,inf
full_cycles,0,3,3,inf
full_parts,0,0,1,inf
full_periods,0,0,1,inf
full_rows,0,0,1,inf
full_segments,0,0,1,inf
full_weeks,0,1,1,inf
gain,0,0,3,inf
gains,0,1,1,inf
gap_end,0,1,1,inf
gap_start,0,1,1,inf
garden,0,0,1,inf
gcd_len,0,0,1,inf
gender,0,3,2,inf
genders,0,2,1,inf
generate_candidates,0,1,1,inf
generate_emirps_up_to,0,0,1,inf
generate_lucky_numbers,0,0,1,inf
generate_neighbors,0,0,1,inf
generate_orderings,0,0,1,inf
generate_sequence,0,0,1,inf
generate_strings,0,0,1,inf
generate_vectors,0,0,1,inf
genre,0,0,1,inf
get_digits,0,1,1,inf
get_final,0,0,1,inf
get_knight_moves,0,0,1,inf
get_mask,0,0,1,inf
get_neighbors,0,0,1,inf
get_powers,0,0,1,inf
get_sequence,0,0,1,inf
get_suffix,0,1,1,inf
get_sum,0,0,1,inf
get_ternary_digits,0,0,1,inf
girl_names,0,0,1,inf
give,0,1,1,inf
giver,0,0,1,inf
givers,0,0,1,inf
glass,0,0,1,inf
glass_count,0,1,1,inf
global_max,0,0,1,inf
global_min,0,0,1,inf
goals,0,1,1,inf
grade,0,1,1,inf
group1,0,0,1,inf
group2,0,0,1,inf
group_first_row,0,0,1,inf
group_size,0,1,1,inf
grouped,0,0,1,inf
h_count,0,0,1,inf
h_list,0,0,1,inf
h_max,0,1,1,inf
h_min,0,1,1,inf
h_pows,0,1,1,inf
h_str,0,0,1,inf
hacks,0,0,1,inf
half,0,4,5,inf
half_occupied,0,1,1,inf
half_round_up,0,0,1,inf
handle,0,2,2,inf
happiness,0,0,1,inf
has_cycle,0,0,1,inf
has_divisor,0,0,1,inf
has_infinite,0,0,1,inf
has_k,0,0,1,inf
has_left,0,1,1,inf
has_lower,0,1,1,inf
has_right,0,1,1,inf
has_upper,0,1,1,inf
hash_map,0,0,1,inf
hdd,0,1,1,inf
helper,0,0,1,inf
hero_idx,0,0,1,inf
highest_bit,0,0,1,inf
holes,0,2,1,inf
horizontal_span,0,0,1,inf
host,0,1,1,inf
host_map,0,0,1,inf
hostname,0,2,1,inf
hostname_pattern,0,0,1,inf
hp,0,1,1,inf
http_pos,0,0,1,inf
hull,0,3,1,inf
i_val,0,0,1,inf
idx_90,0,0,1,inf
idx_day,0,1,1,inf
idx_i,0,0,1,inf
idx_j,0,0,1,inf
idx_k,0,0,1,inf
igor_end,0,0,1,inf
igor_ptr,0,0,1,inf
impossible,0,1,1,inf
in_degree,0,4,3,inf
in_degree_copy,0,1,1,inf
in_display,0,0,1,inf
incorrect,0,0,1,inf
index_set,0,0,1,inf
indexed,0,0,1,inf
indexed_marks,0,0,1,inf
indexof_a,0,0,1,inf
indices_first,0,0,1,inf
indices_reversed_second,0,0,1,inf
infile,0,0,1,inf
info,0,0,1,inf
informatics,0,0,1,inf
informed,0,1,1,inf
initial_score,0,0,1,inf
initial_state,0,1,1,inf
input_board,0,0,1,inf
input_line,0,1,1,inf
input_notes,0,1,1,inf
insert_pos,0,0,1,inf
inside_parentheses,0,0,1,inf
instant_spell_manas,0,0,1,inf
instant_spell_potions,0,0,1,inf
integer_list,0,0,1,inf
integer_part,0,4,3,inf
intervals,0,10,2,inf
inv2,0,0,1,inf
inv_count,0,0,1,inf
inv_fact,0,2,3,inf
invalid,0,2,1,inf
ip_str,0,1,1,inf
is_ambiguous,0,0,1,inf
is_amplifying,0,1,1,inf
is_bus,0,0,1,inf
is_filled,0,0,1,inf
is_good,0,0,1,inf
is_good_puzzle,0,0,1,inf
is_lucky,0,3,1,inf
is_negative,0,1,1,inf
is_non_empty,0,0,1,inf
is_not_outdated,0,0,1,inf
is_ordered,0,0,1,inf
is_p,0,0,2,inf
is_palin,0,0,1,inf
is_palindrome,0,0,1,inf
is_point_on_segment,0,0,1,inf
is_possible,0,3,4,inf
is_rectangle,0,1,1,inf
is_right_angled,0,0,1,inf
is_ring,0,0,1,inf
is_rotation,0,2,1,inf
is_row_first,0,0,1,inf
is_safe,0,0,1,inf
is_square,0,1,1,inf
is_star,0,0,1,inf
is_start,0,0,1,inf
is_subsequence,0,1,1,inf
is_summer,0,0,1,inf
is_truth,0,0,1,inf
is_unique,0,1,1,inf
is_valid_flag,0,0,1,inf
is_valid_root,0,0,1,inf
is_waste,0,0,1,inf
isinstance,0,1,1,inf
j_idx,0,0,1,inf
joy,0,1,1,inf
jump_pos,0,0,1,inf
jx,0,0,1,inf
jy,0,0,1,inf
k_i,0,0,1,inf
k_idx,0,0,1,inf
k_powers,0,0,1,inf
kayaks,0,0,1,inf
key_pos,0,0,1,inf
keys,0,0,1,inf
ki,0,5,2,inf
knight_pos,0,1,1,inf
l_i,0,0,1,inf
l_j,0,0,1,inf
lane,0,1,1,inf
lane_first,0,0,1,inf
lane_size,0,0,1,inf
lang,0,1,2,inf
langs,0,1,1,inf
laptop,0,1,1,inf
laptops,0,1,1,inf
larger_counts,0,0,1,inf
largest,0,0,1,inf
last_a,0,0,2,inf
last_b,0,0,2,inf
last_char,0,3,1,inf
last_current,0,0,1,inf
last_diff,0,0,1,inf
last_end,0,3,1,inf
last_g,0,0,1,inf
last_is_v,0,0,1,inf
last_min,0,0,1,inf
last_prev,0,0,1,inf
last_r,0,0,1,inf
last_right,0,0,1,inf
last_send_time,0,0,1,inf
last_zero,0,1,1,inf
latency,0,0,1,inf
latest,0,0,1,inf
layer,0,0,2,inf
layers,0,1,1,inf
layout1,0,0,1,inf
layout2,0,0,1,inf
leader,0,1,1,inf
leading_spaces,0,0,1,inf
left_alignment,0,0,1,inf
left_l,0,0,1,inf
left_len,0,0,1,inf
left_num,0,0,1,inf
left_pattern,0,0,1,inf
left_subsets,0,0,1,inf
leftmost,0,0,1,inf
leftmost_R,0,0,1,inf
len_T,0,0,1,inf
len_a,0,1,1,inf
len_ab,0,0,1,inf
len_b,0,1,2,inf
len_colors,0,0,1,inf
len_cycle,0,0,1,inf
len_first,0,0,1,inf
len_p,0,2,1,inf
len_second,0,0,1,inf
len_t,0,3,2,inf
len_w0,0,0,1,inf
len_w1,0,0,1,inf
len_w2,0,0,1,inf
len_w3,0,0,1,inf
len_w4,0,0,1,inf
len_w5,0,0,1,inf
length_counts,0,0,1,inf
letter_order,0,0,1,inf
letters,0,2,1,inf
level_count,0,0,1,inf
lex,0,1,1,inf
lhs,0,1,1,inf
light_indices,0,0,1,inf
likes_count,0,0,1,inf
limak_total,0,1,1,inf
line_len,0,0,1,inf
line_map,0,0,1,inf
list_d1,0,0,1,inf
list_d2,0,0,1,inf
liters,0,0,1,inf
ln_x,0,0,1,inf
ln_y,0,0,1,inf
ln_z,0,0,1,inf
low_first,0,0,1,inf
lower_changes,0,0,1,inf
lower_fill,0,0,1,inf
lps,0,2,1,inf
lsb,0,0,1,inf
luckys,0,0,1,inf
lvl,0,0,1,inf
m_events,0,0,1,inf
m_prefix,0,0,1,inf
m_str,0,0,1,inf
m_val,0,1,2,inf
made_progress,0,0,1,inf
major_found,0,0,1,inf
majority_even,0,0,1,inf
males,0,1,1,inf
mana_used,0,0,1,inf
manager,0,1,1,inf
manhattan,0,0,1,inf
mapping,0,3,2,inf
margin,0,0,1,inf
masha_time,0,1,1,inf
mask_num,0,0,1,inf
match,0,6,2,inf
match_to,0,1,1,inf
matrix_pow,0,1,1,inf
max2,0,0,1,inf
max_256,0,0,1,inf
max_32,0,0,1,inf
max_a,0,10,4,inf
max_abs_sum,0,0,1,inf
max_animals,0,0,1,inf
max_area,0,2,1,inf
max_avg,0,1,1,inf
max_b,0,4,3,inf
max_beauty,0,2,2,inf
max_bipartite_matching,0,0,1,inf
max_blocks,0,1,1,inf
max_boring_start,0,0,1,inf
max_buy,0,0,1,inf
max_c,0,0,1,inf
max_candidates,0,1,1,inf
max_cap,0,1,1,inf
max_cars,0,0,1,inf
max_char,0,1,1,inf
max_chess_l,0,0,1,inf
max_cnt,0,1,1,inf
max_col,0,3,4,inf
max_col_min,0,0,1,inf
max_consec,0,0,1,inf
max_contribution,0,1,1,inf
max_cost,0,0,1,inf
max_crucians,0,0,1,inf
max_cube,0,0,1,inf
max_current,0,0,1,inf
max_day,0,0,1,inf
max_degree,0,2,2,inf
max_departure,0,0,1,inf
max_depth,0,2,1,inf
max_deque,0,2,1,inf
max_descent,0,1,1,inf
max_discard,0,0,1,inf
max_dist,0,5,5,inf
max_dist_sq,0,0,1,inf
max_distance,0,3,2,inf
max_distance_acceleration,0,0,1,inf
max_earnings,0,0,1,inf
max_end,0,0,1,inf
max_even,0,0,1,inf
max_exp,0,2,1,inf
max_extra,0,0,1,inf
max_f,0,0,1,inf
max_files,0,1,1,inf
max_flicks,0,0,1,inf
max_freq,0,5,2,inf
max_g,0,0,1,inf
max_gain,0,0,1,inf
max_games,0,0,1,inf
max_gap,0,3,1,inf
max_girl,0,0,1,inf
max_group,0,0,1,inf
max_h,0,1,1,inf
max_height,0,4,3,inf
max_heights,0,0,1,inf
max_houses,0,0,1,inf
max_i,0,2,2,inf
max_idx,0,0,1,inf
max_index,0,3,3,inf
max_j,0,2,1,inf
max_joy,0,1,1,inf
max_k,0,11,2,inf
max_left,0,1,1,inf
max_length,0,5,6,inf
max_level,0,0,1,inf
max_limit,0,0,3,inf
max_mex,0,0,1,inf
max_mid,0,1,1,inf
max_n,0,4,3,inf
max_new,0,1,1,inf
max_num,0,3,4,inf
max_odd,0,0,1,inf
max_off,0,1,1,inf
max_ones,0,0,1,inf
max_open,0,1,1,inf
max_outside,0,1,1,inf
max_overlap,0,0,2,inf
max_p,0,3,1,inf
max_pair,0,1,1,inf
max_part,0,0,1,inf
