Skipped LLM_code/arxiv_dataset/2020/Q1/SynSeg-Net/torchsrc/ext/fcn.berkeleyvision.org/surgery.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB07_CrossCorr.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 68)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/thar4rv.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 253)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/test_cte_vertical.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/read_cafex.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 11)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/sci4rv.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 217)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/rvtoolbox.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 64)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/cafex.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/fits2ascii_cafex.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 26)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB04_TraceOrders.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 22)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB02_cafe_checks.py: Function parameters cannot be parenthesized (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB06_WavelengthCalibration.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 106)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/nsdata.py: invalid syntax (<unknown>, line 211)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RV_measure_onredspec.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 94)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB10_SaveResults.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 186)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB01_prepare_data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 92)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB05_ExtractOrders.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 18)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/rvtoolbox_arcs.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 54)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/CAFEutilities.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 191)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/test_cte_horizontal.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/CARSmath.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 137)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB08_RadialVelocity.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/GLOBALutils.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/copy_digest_results.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/tmp_ccf.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 54)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/analysis.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 84)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB03_MasterFrames.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 74)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/src/RB06_WavelengthCalibration_withCERESThAr.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 117)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/dome/coco_util.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 62)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/training/generateProtoTxt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 87)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/100_135AlmostSameBatchAllGPUs/training_results/d_setLayers.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 258)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/100_135AlmostSameBatchAllGPUs/training_results/generateProtoTxt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 87)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/1_25BBkg/training_results/d_setLayers.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 194)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/1_25BBkg/training_results/generateProtoTxt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 87)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/1_25BSuperModel11FullVGG/training_results/d_setLayers.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 256)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/1_25BSuperModel11FullVGG/training_results/generateProtoTxt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 87)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/body_25/training_results/d_setLayers.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 102)
Skipped LLM_code/arxiv_dataset/2020/Q1/openpose_train/experimental_models/body_25/training_results/generateProtoTxt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 79)
Skipped LLM_code/arxiv_dataset/2020/Q1/AdaptiveMaskedProxies/configs/fcn8s_pascal_normalize_training.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/lstar_extraction/Specific_Language_Generation.py: invalid syntax (<unknown>, line 93)
Skipped LLM_code/arxiv_dataset/2020/Q1/vpic/scripts/binary_reader/read_file.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2020/Q1/vpic/scripts/binary_reader/part_hist.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 329)
Skipped LLM_code/arxiv_dataset/2020/Q1/AttList/AttList_cikm2019/Attlist_cikm2019.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 167)
Skipped LLM_code/arxiv_dataset/2020/Q1/AttList/AttList_cikm2019/evaluate_cikm2019.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 91)
Skipped LLM_code/arxiv_dataset/2020/Q1/AttList/AttList_cikm2019/getDataSet_cikm2019.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 66)
Skipped LLM_code/arxiv_dataset/2020/Q1/TwoStreamSR/Tools/frame2video/genVideo_master.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q1/TwoStreamSR/Tools/video2frame&flow/lib/dense_flow/build_of.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 28)
Skipped LLM_code/arxiv_dataset/2020/Q1/TwoStreamSR/Tools/video2frame&flow/tools/build_of.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q1/msgan/msdistgan_celeba.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 90)
Skipped LLM_code/arxiv_dataset/2020/Q1/AAT/scripts/dump_to_lmdb.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 54)
Skipped LLM_code/arxiv_dataset/2020/Q1/ganilla/datasets/scraper_openlibrary.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 190)
Skipped LLM_code/arxiv_dataset/2020/Q1/ganilla/datasets/miyazaki_downloader.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 54)
Skipped LLM_code/arxiv_dataset/2020/Q1/deep_human/network/processing_detail_data.py: expected an indented block after 'if' statement on line 153 (<unknown>, line 254)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PRDARTS/test_imagenet.py: invalid syntax (<unknown>, line 94)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PRDARTS/test.py: invalid syntax (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PC-DARTS/train_search.py: invalid syntax (<unknown>, line 176)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PC-DARTS/train.py: invalid syntax (<unknown>, line 159)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/PC-DARTS/test.py: invalid syntax (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/data_utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/general_controller.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/models.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/NAS-Benchmark/ENASTF/src/cifar10/controller.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2020/Q1/lang2seg/pyutils/refer/refer_ref.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q1/lang2seg/pyutils/refer/refer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q1/lang2seg/pyutils/refer/evaluation/refEvaluation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 39)
Skipped LLM_code/arxiv_dataset/2020/Q1/lang2seg/pyutils/refer/evaluation/bleu/bleu_scorer.py: Function parameters cannot be parenthesized (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2020/Q1/lang2seg/pyutils/mask-faster-rcnn/lib/datasets/tools/mcg_munge.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q1/fault-tolerant-ros-master/src/ros_comm/rosmaster/src/rosmaster/rosrescue.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 134)
Skipped LLM_code/arxiv_dataset/2020/Q1/fault-tolerant-ros-master/src/ros_comm/topic_tools/test/test_mux_delete_add.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 71)
Skipped LLM_code/arxiv_dataset/2020/Q1/fault-tolerant-ros-master/src/ros_comm/topic_tools/test/test_mux_services.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 75)
Skipped LLM_code/arxiv_dataset/2020/Q1/3D-Reconstruction/util/metrics.py: invalid syntax (<unknown>, line 11)
Skipped LLM_code/arxiv_dataset/2020/Q1/DA_detection/lib/datasets/tools/mcg_munge.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q1/mycode/ONLINE_HASHING_UTILS/vlfeat/docsrc/mdoc.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 300)
Skipped LLM_code/arxiv_dataset/2020/Q1/mycode/ONLINE_HASHING_UTILS/vlfeat/docsrc/webdoc.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 83)
Skipped LLM_code/arxiv_dataset/2020/Q1/mycode/ONLINE_HASHING_UTILS/vlfeat/docsrc/formatter.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 629)
Skipped LLM_code/arxiv_dataset/2020/Q1/mycode/ONLINE_HASHING_UTILS/vlfeat/docsrc/doxytag.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2020/Q1/mycode/ONLINE_HASHING_UTILS/vlfeat/docsrc/wikidoc.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 6)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_optical_flow_list.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 63)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_scene_coordinate_map.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 22)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_scene_coordinate_map_list.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/vis/vis_optical_flow.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/KFNet/eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 33)
Skipped LLM_code/arxiv_dataset/2020/Q1/KFNet/KFNet/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 143)
Skipped LLM_code/arxiv_dataset/2020/Q1/DMIT/models/template_model.py: invalid syntax (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2020/Q1/DMIT/data/template_dataset.py: expected an indented block after function definition on line 16 (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/projected_sinkhorn/adv_training_mnist.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 178)
Skipped LLM_code/arxiv_dataset/2020/Q1/LFZip/data/bin_to_npy.py: invalid syntax. Maybe you meant '==' or ':=' instead of '='? (<unknown>, line 30)
Skipped LLM_code/arxiv_dataset/2020/Q1/DAPN/train_lambda.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 241)
Skipped LLM_code/arxiv_dataset/2020/Q1/DAPN/prototypical_module/logreg.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 33)
Skipped LLM_code/arxiv_dataset/2020/Q1/DAPN/prototypical_module/samplers.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2020/Q1/DAPN/pretrain/main_resnet.py: invalid syntax (<unknown>, line 137)
Skipped LLM_code/arxiv_dataset/2020/Q1/onpolicybaselines/onpolicyalgos/normalizing_flows/acktr_normflow/kfac.py: invalid syntax (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2020/Q1/onpolicybaselines/onpolicyalgos/normalizing_flows/acktr_normflow/acktr_cont.py: invalid syntax (<unknown>, line 56)
Skipped LLM_code/arxiv_dataset/2020/Q1/onpolicybaselines/onpolicyalgos/normalizing_flows/acktr_normflow/value_functions.py: invalid syntax (<unknown>, line 24)
Skipped LLM_code/arxiv_dataset/2020/Q1/onpolicybaselines/onpolicyalgos/discrete_actions_space/acktr_discrete/acktr_cont.py: invalid syntax (<unknown>, line 56)
Skipped LLM_code/arxiv_dataset/2020/Q1/onpolicybaselines/onpolicyalgos/discrete_actions_space/acktr_discrete/value_functions.py: invalid syntax (<unknown>, line 25)
Skipped LLM_code/arxiv_dataset/2020/Q1/DFS/train_sp_integrate_dynamic_quantization_initial.py: invalid syntax (<unknown>, line 212)
Skipped LLM_code/arxiv_dataset/2020/Q1/DFS/train_base.py: invalid syntax (<unknown>, line 152)
Skipped LLM_code/arxiv_dataset/2020/Q1/DFS/train_sp_integrate_dynamic_quantization.py: invalid syntax (<unknown>, line 197)
Skipped LLM_code/arxiv_dataset/2020/Q1/multi-view-pose-estimation/genlist.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 49)
